name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
Domantas Sabonis,6000,IND,PF,POR,38.9987,6.49978,20.5413,3.42355,29.77,4.96167
Darren Collison,5300,IND,PG,POR,33.9021,6.39662,14.8779,2.80715,24.39,4.60189
Cory Joseph,4300,IND,PG,POR,27.6276,6.42502,11.0124,2.56102,19.32,4.49302
TJ Leaf,3500,IND,PF,POR,10.314,2.94686,1.146,0.327429,5.73,1.63714
Joseph Young,3500,IND,PG,POR,7.74,2.21143,0.86,0.245714,4.3,1.22857
Al Jefferson,4000,IND,C,POR,30.7985,7.69962,8.9415,2.23538,19.87,4.9675
Lance Stephenson,4900,IND,SF,POR,30.2731,6.17818,12.0669,2.46263,21.17,4.32041
Semi Ojeleye,3500,BOS,SF,PHI,5.332,1.52343,0.868,0.248,3.1,0.885714
Daniel Theis,3800,BOS,PF,PHI,23.067,6.07026,4.893,1.28763,13.98,3.67895
Jae Crowder,3700,CLE,PF,ORL,21.1555,5.71770,8.0245,2.16878,14.59,3.94324
Jeff Green,3900,CLE,PF,ORL,23.2508,5.96174,8.1692,2.09467,15.71,4.02821
Kevin Love,7500,CLE,C,ORL,41.1901,5.49201,20.7499,2.76665,30.97,4.12933
Tristan Thompson,3900,CLE,C,ORL,20.1405,5.16423,7.6395,1.95885,13.89,3.56154
Kyle Korver,3500,CLE,SG,ORL,19.9213,5.6918,6.8187,1.9482,13.37,3.82
Cedi Osman,3500,CLE,SF,ORL,5.4595,1.55986,0.6405,0.183,3.05,0.871429
Isaiah Thomas,5700,CLE,PG,ORL,40.2996,7.07011,22.1804,3.89130,31.24,5.48070
Dwyane Wade,5200,CLE,SG,ORL,32.712,6.29077,13.688,2.63231,23.2,4.46154
LeBron James,12500,CLE,SF,ORL,67.5056,5.40045,41.3744,3.30995,54.44,4.3552
D.J. Augustin,4200,ORL,PG,CLE,31.155,7.41786,9.045,2.15357,20.1,4.78571
Bismack Biyombo,7500,ORL,C,CLE,49.7326,6.63101,9.8274,1.31032,29.78,3.97067
Jonathon Simmons,4500,ORL,SF,CLE,35.6845,7.92989,13.5355,3.00789,24.61,5.46889
Evan Fournier,5700,ORL,SG,CLE,41.0256,7.19747,21.1344,3.70779,31.08,5.45263
Mario Hezonja,4300,ORL,SF,CLE,34.146,7.94093,3.794,0.882326,18.97,4.41163
Marreese Speights,3600,ORL,C,CLE,16.3134,4.5315,3.8266,1.06294,10.07,2.79722
Elfrid Payton,6700,ORL,PG,CLE,46.0365,6.87112,19.2635,2.87515,32.65,4.87313
Shelvin Mack,3500,ORL,PG,CLE,6.7734,1.93526,1.7466,0.499029,4.26,1.21714
Wesley Iwundu,3500,ORL,SF,CLE,13.158,3.75943,2.142,0.612,7.65,2.18571
J.R. Smith,3600,CLE,SG,ORL,23.373,6.4925,8.427,2.34083,15.9,4.41667
Derrick Rose,4400,CLE,PG,ORL,9.36,2.12727,1.04,0.236364,5.2,1.18182
Jayson Tatum,5200,BOS,PF,PHI,36.531,7.02519,17.589,3.3825,27.06,5.20385
Jaylen Brown,5700,BOS,SF,PHI,35.347,6.20123,19.033,3.33912,27.19,4.77018
Timothe Luwawu-Cabarrot,3500,PHI,SG,BOS,12.896,3.68457,3.744,1.06971,8.32,2.37714
Marcus Smart,5700,BOS,SG,PHI,39.1286,6.86467,19.7114,3.45814,29.42,5.16140
Al Horford,7400,BOS,C,PHI,42.1848,5.70065,25.8552,3.49395,34.02,4.59730
Marcus Morris,4700,BOS,PF,PHI,28.6366,6.09289,15.0834,3.20923,21.86,4.65106
Aron Baynes,3500,BOS,C,PHI,17.4636,4.9896,6.2964,1.79897,11.88,3.39429
Terry Rozier,4000,BOS,PG,PHI,36.4752,9.1188,14.1848,3.5462,25.33,6.3325
Trevor Booker,3500,PHI,PF,BOS,16.8792,4.82263,4.7608,1.36023,10.82,3.09143
Amir Johnson,3600,PHI,PF,BOS,22.2615,6.18375,6.8385,1.89958,14.55,4.04167
Robert Covington,5300,PHI,SF,BOS,36.6928,6.92317,17.2672,3.25796,26.98,5.09057
Joel Embiid,10000,PHI,C,BOS,63.8848,6.38848,35.9352,3.59352,49.91,4.991
Khem Birch,3900,ORL,PF,CLE,10.818,2.77385,1.202,0.308205,6.01,1.54103
Dario Saric,5300,PHI,PF,BOS,39.7679,7.50338,17.4521,3.29285,28.61,5.39811
Ben Simmons,8300,PHI,PF,BOS,48.7934,5.87872,28.0466,3.37911,38.42,4.62892
Jerryd Bayless,3500,PHI,PG,BOS,22.5504,6.44297,8.7696,2.5056,15.66,4.47429
T.J. McConnell,5100,PHI,PG,BOS,38.2736,7.50463,12.0864,2.36988,25.18,4.93725
Aaron Gordon,7500,ORL,PF,CLE,50.524,6.73653,23.776,3.17013,37.15,4.95333
