name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Malik Monk,4100,CHA,SG,LAC,201313,49101,107367,26187,130300,31780,0
Quinn Cook,3500,GSW,PG,NYK,245094,70026,130300,37228,130300,37228,0
Michael Kidd-Gilchrist,3500,CHA,SF,LAC,209478,59851,108329,30951,128200,36628,0
Matthew Dellavedova,3500,CLE,PG,IND,228072,65163,127700,36485,127700,36485,0
Trey Lyles,3700,DEN,PF,MIA,179879,48616,98241,26551,114500,30945,0
Miles Bridges,3600,CHA,SF,LAC,112928,31369,20664,5740,111700,31027,0
Mike Muscala,3500,PHI,C,WAS,193303,55229,105399,30114,105399,30114,0
Alfonzo McKinnie,3500,GSW,SF,NYK,199296,56941,103800,29657,103800,29657,0
Doug McDermott,3500,IND,SF,CLE,195502,55857,97800,27942,97800,27942,0
Allonzo Trier,3500,NYK,SG,GSW,97428,27836,22448,6413,92000,26285,0
Jordan Bell,3500,GSW,C,NYK,129697,37056,63008,18002,75100,21457,0
Frank Mason,3500,SAC,SG,PHO,99865,28533,58830,16808,66400,18971,0
Ben McLemore,3500,SAC,SG,PHO,99375,28392,41687,11910,62500,17857,0
TJ Leaf,3500,IND,PF,CLE,90597,25885,48500,13857,48500,13857,0
Devonte' Graham,4000,CHA,PG,LAC,45191,11297,8269,2067,44700,11175,0
Jaron Blossomgame,3500,CLE,SF,IND,37181,10623,8928,2550,18600,5314,0
