name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,fl_inc/$
Torrey Craig,3500,DEN,SF,ATL,12.402,35.4343,1.378,3.93714,6.89,19.6857,
Deyonta Davis ,3500,MEM,C,NOP,6.8544,19.584,1.3056,3.73029,4.08,11.6571,
Cheick Diallo,3500,NOP,PF,MEM,5.4931,15.6946,1.2469,3.56257,3.37,9.62857,
Royce O'Neale,3500,UTA,SF,WAS,11.034,31.5257,1.226,3.50286,6.13,17.5143,
Tyler Dorsey,3500,ATL,PG,DEN,10.098,28.8514,1.122,3.20571,5.61,16.0286,
Alex Abrines,3500,OKC,SG,MIN,10.08,28.8,1.12,3.2,5.6,16,
Arron Afflalo,3500,ORL,SG,MIL,8.46,24.1714,0.94,2.68571,4.7,13.4286,
Alex Poythress,3500,IND,PF,MIA,8.424,24.0686,0.936,2.67429,4.68,13.3714,
Isaiah Taylor,3500,ATL,PG,DEN,3.5076,10.0217,0.9324,2.664,2.22,6.34286,
Milton Doyle,3500,BKN,PG,DET,4.0508,11.5737,0.8892,2.54057,2.47,7.05714,
Sean Kilpatrick,3500,MIL,SG,ORL,4.777,13.6486,0.843,2.40857,2.81,8.02857,
Joseph Young,3500,IND,PG,MIA,7.128,20.3657,0.792,2.26286,3.96,11.3143,
TJ Leaf,3500,IND,PF,MIA,4.986,14.2457,0.554,1.58286,2.77,7.91429,
Marcus Georges-Hunt,3500,MIN,SG,OKC,2.862,8.17714,0.318,0.908571,1.59,4.54286,
