name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,59500,29.53142857
Domantas Sabonis,6100,IND,PF,MEM,32.279,5.29164,17.381,2.84934,24.83,4.07049,0,7.693333333,,
Zach LaVine,6000,CHI,SG,POR,36.7472,6.12453,17.2928,2.88213,27.02,4.50333,0,,,
Thaddeus Young,6200,IND,PF,MEM,33.396,5.38645,17.204,2.77484,25.3,4.08065,0,5.74,,
Justin Holiday,5400,CHI,SG,POR,33.3828,6.182,17.1972,3.18467,25.29,4.68333,0,,,
Myles Turner,5800,IND,C,MEM,37.1133,6.39884,17.0667,2.94253,27.09,4.67069,0,,,
Terry Rozier,5100,BOS,PG,NYK,42.8142,8.39494,17.0658,3.34624,29.94,5.87059,0,,,
Kentavious Caldwell-Pope,5600,LAL,SG,ORL,34.4648,6.15443,16.9752,3.03129,25.72,4.59286,0,,,
J.J. Redick,5500,PHI,SG,BKN,30.3408,5.51651,16.6992,3.03622,23.52,4.27636,0,,,
Tim Hardaway Jr.,6300,NYK,SG,BOS,41.8132,6.63702,16.6668,2.64552,29.24,4.64127,0,,,
Marcus Morris,4900,BOS,PF,NYK,29.9022,6.10249,16.4578,3.35873,23.18,4.73061,1,,,
Al-Farouq Aminu,5300,POR,PF,CHI,34.8939,6.58375,16.0461,3.02757,25.47,4.80566,0,,,
Darren Collison,5700,IND,PG,MEM,35.6592,6.256,16.0208,2.81067,25.84,4.53333,0,,,
Dirk Nowitzki,4800,DAL,PF,PHO,30.888,6.435,15.912,3.315,23.4,4.875,0,,,
Courtney Lee,5200,NYK,SG,BOS,31.388,6.03615,15.812,3.04077,23.6,4.53846,0,,,
Denzel Valentine,4900,CHI,SF,POR,35.052,7.15347,15.748,3.21388,25.4,5.18367,0,,,
James Johnson,5600,MIA,PF,CLE,39.1534,6.99168,15.6066,2.78689,27.38,4.88929,0,,,
Wesley Matthews,5400,DAL,SG,PHO,35.896,6.64741,15.384,2.84889,25.64,4.74815,0,,,
John Collins,5100,ATL,PF,CHA,30.5368,5.98761,15.3832,3.01631,22.96,4.50196,0,,,
Tyler Johnson,5000,MIA,PG,CLE,34.889,6.9778,15.311,3.0622,25.1,5.02,0,,,
Robin Lopez,4000,CHI,C,POR,29.04,7.26,14.96,3.74,22,5.5,0,,,
Jeremy Lamb,4200,CHA,SG,ATL,31.0352,7.38933,14.6048,3.47733,22.82,5.43333,0,,,
Jordan Clarkson,6600,LAL,SG,ORL,44.1826,6.69433,14.3374,2.17233,29.26,4.43333,0,,,
Allen Crabbe,4600,BKN,SF,PHI,29.214,6.35087,14.066,3.05783,21.64,4.70435,0,,,
Larry Nance,5600,LAL,PF,ORL,33.417,5.96732,13.983,2.49696,23.7,4.23214,0,,,
Dewayne Dedmon,4900,ATL,C,CHA,32.41,6.61429,13.89,2.83469,23.15,4.72449,0,,,
Dwyane Wade,4100,CLE,SG,MIA,33.0645,8.06451,13.8355,3.37451,23.45,5.71951,0,,,
Ersan Ilyasova,4800,ATL,PF,CHA,33.7534,7.03196,13.7866,2.87221,23.77,4.95208,0,,,
Taurean Prince,4600,ATL,SF,CHA,33.5688,7.29757,13.7112,2.9807,23.64,5.13913,0,,,
Kyle Kuzma,5300,LAL,PF,ORL,31.822,6.00415,13.638,2.57321,22.73,4.28868,0,,,
Jerian Grant,5900,CHI,PG,POR,42.1648,7.14658,13.3152,2.25681,27.74,4.70169,0,,,
Jonathon Simmons,4900,ORL,SF,LAL,32.2128,6.57404,12.5272,2.55657,22.37,4.56531,0,,,
Frank Kaminsky,4000,CHA,PF,ATL,34.692,8.673,12.508,3.127,23.6,5.9,0,,,
Kelly Olynyk,4400,MIA,PF,CLE,31.3742,7.1305,12.5058,2.84223,21.94,4.98636,0,,,
Yogi Ferrell,4300,DAL,PG,PHO,31.68,7.36744,12.32,2.86512,22,5.11628,0,,,
Michael Kidd-Gilchrist,5100,CHA,SF,ATL,31.2912,6.13553,12.1688,2.38604,21.73,4.26078,0,,,
Ed Davis,4900,POR,PF,CHI,31.639,6.45694,12.001,2.44918,21.82,4.45306,0,,,
Tyson Chandler,4900,PHO,C,DAL,27.468,5.60571,11.772,2.40245,19.62,4.00408,0,,,
Tristan Thompson,4200,CLE,C,MIA,28.1444,6.70105,11.4956,2.73705,19.82,4.71905,0,,,
Andrew Harrison,4800,MEM,PG,IND,35.3793,7.37069,11.4807,2.39181,23.43,4.88125,0,,,
Jarrett Allen,3700,BKN,C,PHI,31.8108,8.59751,11.4692,3.09978,21.64,5.84865,0,,,
Joe Harris,4100,BKN,SF,PHI,22.9542,5.59859,11.3058,2.75751,17.13,4.17805,0,,,
Jarrett Jack,4600,NYK,PG,BOS,26.32,5.72174,11.28,2.45217,18.8,4.08696,0,,,
Marquese Chriss,5000,PHO,PF,DAL,35.5832,7.11664,11.2368,2.24736,23.41,4.682,0,,,
Josh Jackson,4900,PHO,SF,DAL,32.1989,6.5712,11.0211,2.2492,21.61,4.4102,0,,,
Wayne Ellington,4700,MIA,SG,CLE,31.1392,6.62536,10.9408,2.32783,21.04,4.4766,0,,,
Lance Stephenson,4200,IND,SF,MEM,28.0224,6.672,10.8976,2.59467,19.46,4.63333,0,,,
Evan Turner,4100,POR,SF,CHI,27.8928,6.80312,10.8472,2.64566,19.37,4.72439,0,,,
Dwight Powell,3900,DAL,PF,PHO,26.856,6.88615,10.444,2.67795,18.65,4.78205,0,,,
Dillon Brooks,4300,MEM,SF,IND,31.9063,7.42007,10.3537,2.40784,21.13,4.91395,0,,,
Isaiah Canaan,3800,PHO,PG,DAL,27.289,7.18132,10.351,2.72395,18.82,4.95263,0,,,
Brook Lopez,4100,LAL,C,ORL,27.0425,6.59573,10.2575,2.50183,18.65,4.54878,0,,,
Jarell Martin,5000,MEM,PF,IND,40.816,8.1632,10.204,2.0408,25.51,5.102,0,,,
Jae Crowder,3700,CLE,PF,MIA,26.0064,7.02876,10.1136,2.73341,18.06,4.88108,0,,,
Jeff Green,3700,CLE,PF,MIA,28.2532,7.636,9.9268,2.68292,19.09,5.15946,0,,,
Greg Monroe,5000,PHO,C,DAL,28.9954,5.79908,9.9246,1.98492,19.46,3.892,0,,,
Cory Joseph,4300,IND,PG,MEM,23.9554,5.57102,9.7846,2.27549,16.87,3.92326,0,,,
Kyle O'Quinn,4100,NYK,C,BOS,26.2362,6.39907,9.7038,2.36678,17.97,4.38293,0,,,
Justise Winslow,4300,MIA,SF,CLE,21.7118,5.04926,9.5282,2.21586,15.62,3.63256,0,,,
Bojan Bogdanovic,4300,IND,SF,MEM,22.9756,5.34316,9.3844,2.18242,16.18,3.76279,0,,,
David Nwaba,3700,CHI,SF,POR,26.9988,7.29697,9.2412,2.49762,18.12,4.8973,0,,,
T.J. McConnell,4800,PHI,PG,BKN,27.5877,5.74744,8.9523,1.86506,18.27,3.80625,0,,,
D'Angelo Russell,5000,BKN,SG,PHI,29.1368,5.82736,8.7032,1.74064,18.92,3.784,0,,,
Quincy Acy,3900,BKN,PF,PHI,23.6817,6.07223,8.5383,2.18931,16.11,4.13077,0,,,
Marco Belinelli,3700,ATL,SG,CHA,22.5132,6.08465,8.3268,2.25049,15.42,4.16757,0,,,
Michael Beasley,6000,NYK,SF,BOS,36.3001,6.05002,8.2399,1.37332,22.27,3.71167,0,,,
Bismack Biyombo,5600,ORL,C,LAL,37.0968,6.62443,8.1432,1.45414,22.62,4.03929,0,,,
J.R. Smith,3700,CLE,SG,MIA,22.4322,6.06276,8.0878,2.18589,15.26,4.12432,0,,,
Devin Harris,3700,DAL,SG,PHO,23.175,6.26351,7.725,2.08784,15.45,4.17568,0,,,
Bam Adebayo,4200,MIA,C,CLE,27.5064,6.54914,7.5336,1.79371,17.52,4.17143,0,,,
Shabazz Napier,4200,POR,PG,CHI,30.7832,7.32933,7.4568,1.77543,19.12,4.55238,0,,,
D.J. Augustin,3800,ORL,PG,LAL,24.0086,6.31805,7.1714,1.88721,15.59,4.10263,0,,,
Michael Carter-Williams,3600,CHA,PG,ATL,20.0852,5.57922,6.8748,1.90967,13.48,3.74444,0,,,
Kyle Korver,3600,CLE,SG,MIA,19.92,5.53333,6.64,1.84444,13.28,3.68889,0,,,
Aron Baynes,3700,BOS,C,NYK,19.92,5.38378,6.64,1.79459,13.28,3.58919,0,,,
Malcolm Delaney,3800,ATL,PG,CHA,20.2312,5.324,6.3888,1.68126,13.31,3.50263,0,,,
Trey Burke,3600,NYK,PG,BOS,29.7825,8.27292,6.3175,1.75486,18.05,5.01389,0,,,
Marreese Speights,3500,ORL,C,LAL,30.544,8.72686,6.256,1.78743,18.4,5.25714,0,,,
Ivan Rabb,3500,MEM,PF,IND,32.3904,9.2544,6.1696,1.76274,19.28,5.50857,0,,,
Channing Frye,3500,CLE,C,MIA,24.64,7.04,6.16,1.76,15.4,4.4,0,,,
Jerryd Bayless,3800,PHI,PG,BKN,16.0225,4.21645,6.0775,1.59934,11.05,2.90789,0,,,
Mike Muscala,3600,ATL,C,CHA,20.251,5.62528,6.049,1.68028,13.15,3.65278,0,,,
Pat Connaughton,3700,POR,SG,CHI,22.5624,6.09795,5.9976,1.62097,14.28,3.85946,0,,,
Treveon Graham,3500,CHA,SG,ATL,17.135,4.89571,5.865,1.67571,11.5,3.28571,0,,,
Daniel Theis,3800,BOS,PF,NYK,26.076,6.86211,5.724,1.50632,15.9,4.18421,0,,,
Salah Mejri,3700,DAL,C,PHO,24.2676,6.55881,5.6924,1.53849,14.98,4.04865,0,,,
Shelvin Mack,3600,ORL,PG,LAL,20.0976,5.58267,5.3424,1.484,12.72,3.53333,0,,,
Miles Plumlee,3700,ATL,C,CHA,15.39,4.15946,5.13,1.38649,10.26,2.77297,0,,,
Wayne Selden,3600,MEM,SG,IND,41.2426,11.4563,5.0974,1.41594,23.17,6.43611,0,,,
Troy Daniels,3700,PHO,SG,DAL,24.9275,6.73716,4.5725,1.23581,14.75,3.98649,0,,,
Mario Hezonja,4100,ORL,SF,LAL,39.852,9.72,4.428,1.08,22.14,5.4,0,,,
Amir Johnson,3600,PHI,PF,BKN,14.7378,4.09383,4.4022,1.22283,9.57,2.65833,0,,,
Dragan Bender,3600,PHO,PF,DAL,18.86,5.23889,4.14,1.15,11.5,3.19444,0,,,
Ben McLemore,3500,MEM,SG,IND,20.1192,5.74834,4.1208,1.17737,12.12,3.46286,0,,,
Brandan Wright,3500,MEM,C,IND,19.6876,5.62503,4.0324,1.15211,11.86,3.38857,0,,,
Frank Ntilikina,3600,NYK,PG,BOS,21.1344,5.87067,4.0256,1.11822,12.58,3.49444,0,,,
Zach Collins,3600,POR,C,CHI,20.8152,5.782,3.9648,1.10133,12.39,3.44167,0,,,
Trevor Booker,3700,PHI,PF,BKN,14.5992,3.94573,3.8808,1.04886,9.24,2.4973,0,,,
Shane Larkin,3600,BOS,PG,NYK,34.2,9.5,3.8,1.05556,19,5.27778,0,,,
Kyle Collinsworth,3500,DAL,SG,PHO,15.3414,4.38326,3.5986,1.02817,9.47,2.70571,0,,,
Khem Birch,4600,ORL,PF,LAL,31.5,6.84783,3.5,0.76087,17.5,3.80435,0,,,
Jahlil Okafor,3600,BKN,C,PHI,31.23,8.675,3.47,0.963889,17.35,4.81944,0,,,
Doug McDermott,3500,NYK,SF,BOS,9.3051,2.6586,3.3549,0.958543,6.33,1.80857,0,,,
Myke Henry,3600,MEM,SG,IND,23.45,6.51389,3.35,0.930556,13.4,3.72222,0,,,
Maxi Kleber,3600,DAL,PF,PHO,23.3625,6.48958,3.3375,0.927083,13.35,3.70833,0,,,
Paul Zipser,3500,CHI,SF,POR,16.8503,4.81437,3.3297,0.951343,10.09,2.88286,0,,,
Justin Anderson,3800,PHI,SF,BKN,13.6206,3.58437,3.2994,0.868263,8.46,2.22632,0,,,
Wesley Iwundu,3500,ORL,SF,LAL,23.32,6.66286,3.18,0.908571,13.25,3.78571,0,,,
Tyler Ennis,3500,LAL,PG,ORL,27.45,7.84286,3.05,0.871429,15.25,4.35714,0,,,
Johnny O'Bryant,3500,CHA,PF,ATL,18.318,5.23371,2.982,0.852,10.65,3.04286,0,,,
Lance Thomas,3500,NYK,SF,BOS,9.1506,2.61446,2.9694,0.8484,6.06,1.73143,0,,,
Tyler Ulis,4000,PHO,PG,DAL,8.7096,2.1774,2.7504,0.6876,5.73,1.4325,0,,,
Nik Stauskas,4000,BKN,SG,PHI,23.832,5.958,2.648,0.662,13.24,3.31,0,,,
Josh Hart,3700,LAL,SG,ORL,16.7983,4.54008,2.6217,0.708568,9.71,2.62432,0,,,
Alex Caruso,4000,LAL,SG,ORL,22.194,5.5485,2.466,0.6165,12.33,3.0825,0,,,
Isaiah Whitehead,3800,BKN,PG,PHI,16.104,4.23789,2.196,0.577895,9.15,2.40789,0,,,
Tyler Dorsey,3500,ATL,PG,CHA,18.198,5.19943,2.022,0.577714,10.11,2.88857,0,,,
Semi Ojeleye,3700,BOS,SF,NYK,15.2043,4.10927,1.9757,0.533973,8.59,2.32162,0,,,
Derrick Rose,3600,CLE,PG,MIA,4.032,1.12,1.728,0.48,2.88,0.8,0,,,
Tyler Zeller,3600,BKN,C,PHI,3.5321,0.981139,1.4079,0.391083,2.47,0.686111,0,,,
Timothe Luwawu-Cabarrot,4000,PHI,SG,BKN,4.0092,1.0023,1.1308,0.2827,2.57,0.6425,0,,,
TJ Leaf,3500,IND,PF,MEM,7.128,2.03657,0.792,0.226286,3.96,1.13143,0,,,
Joseph Young,3500,IND,PG,MEM,6.75,1.92857,0.75,0.214286,3.75,1.07143,0,,,
Ryan Arcidiacono,3500,CHI,PG,POR,4.644,1.32686,0.516,0.147429,2.58,0.737143,0,,,
Malik Monk,3500,CHA,SG,ATL,4.536,1.296,0.504,0.144,2.52,0.72,0,,,
Quincy Pondexter,3500,CHI,SF,POR,3.132,0.894857,0.348,0.0994286,1.74,0.497143,0,,,
James Webb,3500,BKN,SF,PHI,1.887,0.539143,0.333,0.0951429,1.11,0.317143,0,,,
Arron Afflalo,3500,ORL,SG,LAL,0.828,0.236571,0.092,0.0262857,0.46,0.131429,0,,,
