name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,,40700,
Buddy Hield,4900,SAC,SG,UTA,33.1338,6.762,11.9462,2.438,22.54,4.6,0,,
Wilson Chandler,4500,DEN,SF,LAC,29.4151,6.53669,11.7249,2.60553,20.57,4.57111,0,,
Marvin Williams,4400,CHA,PF,WAS,28.3574,6.44486,11.5826,2.63241,19.97,4.53864,0,3.988,
Mason Plumlee,4600,DEN,C,LAC,29.6064,6.43617,11.5136,2.50296,20.56,4.46957,0,30.00181818,
Michael Kidd-Gilchrist,4900,CHA,SF,WAS,28.8288,5.88343,11.4912,2.34514,20.16,4.11429,0,,
Brook Lopez,4100,LAL,C,OKC,29.5056,7.19649,11.4744,2.79863,20.49,4.99756,0,54.35,
Bobby Portis,3900,CHI,PF,GSW,25.3368,6.49662,11.3832,2.91877,18.36,4.70769,1,,
Montrezl Harrell,6000,LAC,PF,DEN,43.2162,7.2027,11.1438,1.8573,27.18,4.53,0,,
Denzel Valentine,4400,CHI,SF,GSW,25.746,5.85136,11.034,2.50773,18.39,4.17955,0,,
Danny Green,4100,SAS,SG,BKN,32.1989,7.85339,11.0211,2.68807,21.61,5.27073,0,,
Larry Nance,4800,LAL,PF,OKC,26.1837,5.45494,10.9563,2.28256,18.57,3.86875,0,,
Delon Wright,4900,TOR,PG,DET,34.1848,6.97649,10.7952,2.2031,22.49,4.5898,0,25.11428571,
Kyle O'Quinn,4100,NYK,C,MEM,28.616,6.97951,10.584,2.58146,19.6,4.78049,0,39.51,
Trey Lyles,5800,DEN,PF,LAC,40.4655,6.97681,10.4345,1.79905,25.45,4.38793,0,,
Jordan Bell,4300,GSW,PF,CHI,45.8845,10.6708,10.4155,2.42221,28.15,6.54651,0,,
Wayne Ellington,4900,MIA,SG,MIL,31.996,6.5298,10.104,2.06204,21.05,4.29592,0,,
Justise Winslow,3800,MIA,SF,MIL,23.1,6.07895,9.9,2.60526,16.5,4.34211,0,,
Joe Harris,3700,BKN,SF,SAS,20.2368,5.46941,9.5232,2.57384,14.88,4.02162,0,,
Andrew Harrison,5500,MEM,PG,NYK,29.944,5.44436,9.456,1.71927,19.7,3.58182,0,10.884,
Frank Kaminsky,4800,CHA,PF,WAS,26.3736,5.4945,9.2664,1.9305,17.82,3.7125,0,,
Jerami Grant,3900,OKC,PF,LAL,21.0863,5.40674,9.2537,2.37274,15.17,3.88974,0,,
Jordan Clarkson,3900,LAL,SG,OKC,25.4457,6.52454,9.1743,2.35238,17.31,4.43846,0,,
Pascal Siakam,4100,TOR,PF,DET,23.3856,5.7038,9.0944,2.21815,16.24,3.96098,0,,
Dwight Buycks,3700,DET,PG,TOR,19.182,5.18432,8.618,2.32919,13.9,3.75676,0,66.94,
George Hill,4200,SAC,PG,UTA,21.6,5.14286,8.4,2,15,3.57143,0,16.01142857,
Patty Mills,3700,SAS,PG,BKN,22.6446,6.12016,8.3754,2.26362,15.51,4.19189,0,54.81,
Raymond Felton,3700,OKC,PG,LAL,19.9233,5.38468,8.3367,2.25316,14.13,3.81892,0,52.875,
Mario Chalmers,3700,MEM,PG,NYK,24.2274,6.54795,8.2926,2.24124,16.26,4.39459,0,50.67,
Zaza Pachulia,3500,GSW,C,CHI,22.2066,6.34474,8.2134,2.34669,15.21,4.34571,1,,
Jarell Martin,3600,MEM,PF,NYK,35.86,9.96111,8.14,2.26111,22,6.11111,0,,
Jakob Poeltl,4200,TOR,C,DET,27.8535,6.63179,8.0865,1.92536,17.97,4.27857,0,,
Deyonta Davis ,3600,MEM,C,NYK,47.2131,13.1148,8.0069,2.22414,27.61,7.66944,0,,
Marco Belinelli,3500,ATL,SG,NOP,21.9765,6.279,7.9235,2.26386,14.95,4.27143,0,,
Andre Roberson,4800,OKC,SG,LAL,31.232,6.50667,7.808,1.62667,19.52,4.06667,0,,
C.J. Miles,4100,TOR,SF,DET,20.9948,5.12068,7.7652,1.89395,14.38,3.50732,0,,
Wesley Johnson,4000,LAC,SF,DEN,23.4503,5.86258,7.6097,1.90242,15.53,3.8825,0,,
Dillon Brooks,3700,MEM,SF,NYK,24.633,6.65757,7.567,2.04514,16.1,4.35135,0,,
Quincy Acy,3600,BKN,PF,SAS,21.0456,5.846,7.3944,2.054,14.22,3.95,0,,
Emmanuel Mudiay,3500,DEN,PG,LAC,33.1608,9.47451,7.2792,2.07977,20.22,5.77714,1,,
Joe Johnson,4300,UTA,SF,SAC,24.0394,5.59056,7.1806,1.66991,15.61,3.63023,0,,
Omri Casspi,3600,GSW,SF,CHI,25.2876,7.02433,7.1324,1.98122,16.21,4.50278,0,,
James Ennis,3700,MEM,SF,NYK,22.5416,6.09232,7.1184,1.92389,14.83,4.00811,0,,
Jarrett Allen,3800,BKN,C,SAS,18.676,4.91474,7.084,1.86421,12.88,3.38947,0,,
Reggie Bullock,4000,DET,SF,TOR,31.0515,7.76288,7.0485,1.76212,19.05,4.7625,0,,
Shaun Livingston,3600,GSW,PG,CHI,19.7872,5.49644,6.7728,1.88133,13.28,3.68889,0,,
OG Anunoby,4000,TOR,SF,DET,17.8495,4.46238,6.7705,1.69262,12.31,3.0775,0,,
Jerian Grant,3600,CHI,PG,GSW,18.8552,5.23756,6.6248,1.84022,12.74,3.53889,0,,
Malcolm Delaney,3800,ATL,PG,NOP,21.868,5.75474,6.532,1.71895,14.2,3.73684,0,,
David Nwaba,3700,CHI,SF,GSW,18.7293,5.06197,6.4107,1.73262,12.57,3.3973,0,,
Tyler Zeller,3500,BKN,C,SAS,15.4354,4.41011,6.3046,1.80131,10.87,3.10571,0,,
Bam Adebayo,4300,MIA,C,MIL,27.6937,6.4404,6.2863,1.46193,16.99,3.95116,0,,
Justin Jackson,3700,SAC,SF,UTA,28.4376,7.68584,6.2424,1.68714,17.34,4.68649,0,,
Kosta Koufos,4000,SAC,C,UTA,21.328,5.332,6.192,1.548,13.76,3.44,0,,
Garrett Temple,3600,SAC,SG,UTA,16.24,4.51111,6.16,1.71111,11.2,3.11111,0,,
Miles Plumlee,3500,ATL,C,NOP,18.375,5.25,6.125,1.75,12.25,3.5,0,,
