name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
Gerald Green,4800,HOU,SF,PHO,38.4912,80.19,14.9688,31.185,26.73,55.6875
Alex Len,3700,PHO,C,HOU,22.0608,59.6238,8.5792,23.1870,15.32,41.4054
Troy Daniels,3500,PHO,SG,HOU,30.1368,86.1051,4.5032,12.8663,17.32,49.4857
Jared Dudley,3500,PHO,PF,HOU,12.762,36.4629,1.418,4.05143,7.09,20.2571
Isaiah Canaan,3600,PHO,PG,HOU,29.4964,81.9344,10.3636,28.7878,19.93,55.3611
Dragan Bender,3500,PHO,PF,HOU,44.0426,125.836,9.9974,28.564,27.02,77.2
Tyler Ulis,4900,PHO,PG,HOU,28.8008,58.7771,10.1192,20.6514,19.46,39.7143
Devin Booker,7800,PHO,SG,HOU,53.6522,68.7849,27.0278,34.6510,40.34,51.7179
TJ Warren,7500,PHO,SF,HOU,49.7214,66.2952,22.3386,29.7848,36.03,48.04
Tyson Chandler,4900,PHO,C,HOU,28.3316,57.8196,13.0284,26.5886,20.68,42.2041
Mason Plumlee,5000,DEN,C,MEM,28.2605,56.521,10.7195,21.439,19.49,38.98
Jamal Murray,6800,DEN,PG,MEM,44.7052,65.7429,16.5348,24.3159,30.62,45.0294
DeAndre Liggins,3500,NOP,SG,POR,10.602,30.2914,1.798,5.13714,6.2,17.7143
Marc Gasol,8400,MEM,C,DEN,46.2625,55.0744,27.7575,33.0446,37.01,44.0595
James Ennis,3500,MEM,SF,DEN,23.256,66.4457,7.344,20.9829,15.3,43.7143
Tyreke Evans,8500,MEM,SG,DEN,52.2984,61.5275,26.9416,31.696,39.62,46.6118
Rajon Rondo,5300,NOP,PG,POR,36.645,69.1415,12.215,23.0472,24.43,46.0943
Darius Miller,3500,NOP,SF,POR,18.9112,54.032,5.6488,16.1394,12.28,35.0857
E'Twaun Moore,4900,NOP,SF,POR,28.7232,58.6188,13.5168,27.5853,21.12,43.1020
Jameer Nelson,3500,NOP,PG,POR,8.4084,24.024,2.3716,6.776,5.39,15.4
Dante Cunningham,3500,NOP,SF,POR,15.6748,44.7851,5.3652,15.3291,10.52,30.0571
Ian Clark,3600,NOP,PG,POR,13.6324,37.8678,2.1276,5.91,7.88,21.8889
Dillon Brooks,3500,MEM,SF,DEN,19.7582,56.452,5.9018,16.8623,12.83,36.6571
Mario Chalmers,3900,MEM,PG,DEN,28.77,73.7692,9.59,24.5897,19.18,49.1795
JaMychal Green,5100,MEM,PF,DEN,33.583,65.8490,13.717,26.8961,23.65,46.3725
Nikola Jokic,9300,DEN,C,MEM,52.0961,56.0173,26.2439,28.2192,39.17,42.1183
Will Barton,6000,DEN,SG,MEM,42.5316,70.886,19.1084,31.8473,30.82,51.3667
Wilson Chandler,5000,DEN,SF,MEM,27.2498,54.4996,11.1302,22.2604,19.19,38.38
Jarell Martin,3500,MEM,PF,DEN,21.8155,62.33,5.2845,15.0986,13.55,38.7143
Deyonta Davis ,3500,MEM,C,DEN,6.6348,18.9566,1.1252,3.21486,3.88,11.0857
Wayne Selden,3500,MEM,SG,DEN,12.3246,35.2131,2.4354,6.95829,7.38,21.0857
Brandan Wright,3500,MEM,C,DEN,18.0608,51.6023,3.6992,10.5691,10.88,31.0857
Andrew Harrison,4300,MEM,PG,DEN,26.8432,62.4260,8.4768,19.7135,17.66,41.0698
Lance Thomas,3500,NYK,SF,MIN,11.4444,32.6983,3.5156,10.0446,7.48,21.3714
Doug McDermott,3500,NYK,SF,MIN,13.916,39.76,5.964,17.04,9.94,28.4
Tristan Thompson,3900,CLE,C,IND,24.568,62.9949,8.632,22.1333,16.6,42.5641
Victor Oladipo,9500,IND,SG,CLE,61.126,64.3432,32.914,34.6463,47.02,49.4947
Thaddeus Young,5900,IND,PF,CLE,33.9948,57.6183,17.1252,29.0258,25.56,43.3220
Darren Collison,5000,IND,PG,CLE,36.7164,73.4328,15.3636,30.7272,26.04,52.08
Jose Calderon,3500,CLE,PG,IND,21.0672,60.192,2.8728,8.208,11.97,34.2
Cedi Osman,3500,CLE,SF,IND,7.392,21.12,1.008,2.88,4.2,12.0
J.R. Smith,3600,CLE,SG,IND,25.4475,70.6875,9.6525,26.8125,17.55,48.75
Dwyane Wade,5400,CLE,SG,IND,36.148,66.9407,15.492,28.6889,25.82,47.8148
Jeff Green,4400,CLE,PF,IND,29.6212,67.3209,10.1388,23.0427,19.88,45.1818
Kyle Korver,3800,CLE,SG,IND,22.422,59.0053,7.878,20.7316,15.15,39.8684
Domantas Sabonis,7100,IND,PF,CLE,42.4964,59.8541,22.3836,31.5262,32.44,45.6901
Bojan Bogdanovic,4300,IND,SF,CLE,28.3176,65.8549,12.7224,29.5870,20.52,47.7209
Ricky Rubio,5100,UTA,PG,CHA,38.502,75.4941,17.298,33.9176,27.9,54.7059
Rodney Hood,4900,UTA,SG,CHA,36.001,73.4714,15.799,32.2429,25.9,52.8571
Joe Ingles,4800,UTA,SF,CHA,31.9872,66.64,17.9928,37.485,24.99,52.0625
Derrick Favors,6000,UTA,PF,CHA,45.4113,75.6855,19.9287,33.2145,32.67,54.45
Joseph Young,3500,IND,PG,CLE,5.274,15.0686,0.586,1.67429,2.93,8.37143
Al Jefferson,3800,IND,C,CLE,26.1947,68.9334,6.3453,16.6982,16.27,42.8158
Cory Joseph,4200,IND,PG,CLE,30.6436,72.9610,12.5164,29.8010,21.58,51.3810
TJ Leaf,3500,IND,PF,CLE,8.856,25.3029,0.984,2.81143,4.92,14.0571
Lance Stephenson,5000,IND,SF,CLE,30.3714,60.7428,12.7086,25.4172,21.54,43.08
Kevin Love,7100,CLE,C,IND,47.747,67.2493,24.053,33.8775,35.9,50.5634
Jae Crowder,3900,CLE,PF,IND,23.9463,61.4008,8.6337,22.1377,16.29,41.7692
Wesley Iwundu,3600,ORL,SF,WAS,11.8146,32.8183,1.7654,4.90389,6.79,18.8611
Shelvin Mack,3500,ORL,PG,WAS,11.0842,31.6691,3.0358,8.67371,7.06,20.1714
Elfrid Payton,6700,ORL,PG,WAS,47.852,71.4209,20.508,30.6090,34.18,51.0149
D.J. Augustin,3800,ORL,PG,WAS,21.098,55.5211,6.302,16.5842,13.7,36.0526
Marreese Speights,4100,ORL,C,WAS,21.6062,52.6980,5.2338,12.7654,13.42,32.7317
Mario Hezonja,4500,ORL,SF,WAS,34.848,77.44,3.872,8.60444,19.36,43.0222
Evan Fournier,5500,ORL,SG,WAS,35.3628,64.296,18.2172,33.1222,26.79,48.7091
Jonathon Simmons,4500,ORL,SF,WAS,30.073,66.8289,11.407,25.3489,20.74,46.0889
Bismack Biyombo,5500,ORL,C,WAS,42.6126,77.4775,11.3274,20.5953,26.97,49.0364
Arron Afflalo,3500,ORL,SG,WAS,7.884,22.5257,0.876,2.50286,4.38,12.5143
John Wall,10300,WAS,PG,ORL,57.5316,55.8559,33.7884,32.8043,45.66,44.3301
Bradley Beal,8500,WAS,SG,ORL,48.0084,56.4805,24.7316,29.096,36.37,42.7882
Jodie Meeks,3500,WAS,SG,ORL,17.6185,50.3386,3.4815,9.94714,10.55,30.1429
Ian Mahinmi,3500,WAS,C,ORL,14.64,41.8286,3.66,10.4571,9.15,26.1429
Tomas Satoransky ,3500,WAS,PG,ORL,14.8392,42.3977,3.4808,9.94514,9.16,26.1714
LeBron James,11500,CLE,SF,IND,68.7704,59.8003,42.1496,36.6518,55.46,48.2261
Mike Scott,3500,WAS,PF,ORL,23.85,68.1429,6.15,17.5714,15,42.8571
Markieff Morris,5000,WAS,PF,ORL,35.409,70.818,13.431,26.862,24.42,48.84
Otto Porter,7100,WAS,SF,ORL,41.2936,58.16,16.8664,23.7555,29.08,40.9577
Marcin Gortat,4500,WAS,C,ORL,28.9524,64.3387,13.0076,28.9058,20.98,46.6222
Kelly Oubre,4100,WAS,SF,ORL,27.9744,68.2302,11.7056,28.5502,19.84,48.3902
Thabo Sefolosha,4600,UTA,SF,CHA,27.765,60.3587,9.255,20.1196,18.51,40.2391
Donovan Mitchell,7100,UTA,SG,CHA,51.6645,72.7669,24.8755,35.0359,38.27,53.9014
Taurean Prince,5800,ATL,SF,BKN,37.8,65.1724,18.2,31.3793,28,48.2759
Kent Bazemore,5400,ATL,SG,BKN,39.182,72.5593,18.018,33.3667,28.6,52.9630
Dewayne Dedmon,4900,ATL,C,BKN,29.0601,59.3063,12.1599,24.8161,20.61,42.0612
John Collins,4700,ATL,PF,BKN,26.465,56.3085,13.035,27.7340,19.75,42.0213
Dennis Schroder,7400,ATL,PG,BKN,47.1896,63.7697,30.1704,40.7708,38.68,52.2703
Nik Stauskas,3500,BKN,SG,ATL,17.856,51.0171,1.984,5.66857,9.92,28.3429
Quincy Acy,3500,BKN,PF,ATL,15.2736,43.6389,5.3664,15.3326,10.32,29.4857
Joe Harris,3900,BKN,SF,ATL,22.8344,58.5497,10.7456,27.5528,16.79,43.0513
Tyler Zeller,3500,BKN,C,ATL,17.6506,50.4303,7.2094,20.5983,12.43,35.5143
Jahlil Okafor,3500,BKN,C,ATL,15.966,45.6171,1.774,5.06857,8.87,25.3429
Malcolm Delaney,4100,ATL,PG,BKN,24.336,59.3561,6.864,16.7415,15.6,38.0488
Tyler Dorsey,3500,ATL,PG,BKN,18.846,53.8457,2.094,5.98286,10.47,29.9143
Tim Hardaway Jr.,4500,NYK,SG,MIN,29.253,65.0067,10.547,23.4378,19.9,44.2222
Courtney Lee,5600,NYK,SG,MIN,34.7194,61.9989,17.1006,30.5368,25.91,46.2679
Frank Ntilikina,3900,NYK,PG,MIN,25.552,65.5179,6.388,16.3795,15.97,40.9487
Enes Kanter,5300,NYK,C,MIN,34.2312,64.5872,16.1088,30.3940,25.17,47.4906
Kristaps Porzingis,8400,NYK,PF,MIN,55.2568,65.7819,26.0032,30.9562,40.63,48.3690
Isaiah Taylor,3500,ATL,PG,BKN,12.2134,34.8954,3.2466,9.276,7.73,22.0857
Ersan Ilyasova,5600,ATL,PF,BKN,39.762,71.0036,16.638,29.7107,28.2,50.3571
Miles Plumlee,3500,ATL,C,BKN,18.3465,52.4186,5.9535,17.01,12.15,34.7143
Mike Muscala,3500,ATL,C,BKN,18.088,51.68,5.712,16.32,11.9,34
Jarrett Allen,3500,BKN,C,ATL,17.11,48.8857,6.49,18.5429,11.8,33.7143
Spencer Dinwiddie,6700,BKN,PG,ATL,46.2175,68.9813,20.2825,30.2724,33.25,49.6269
Kemba Walker,8500,CHA,PG,UTA,48.006,56.4776,27.594,32.4635,37.8,44.4706
Jeremy Lamb,4800,CHA,SG,UTA,29.754,61.9875,14.326,29.8458,22.04,45.9167
Dwight Howard,8800,CHA,C,UTA,48.645,55.2784,21.855,24.8352,35.25,40.0568
Frank Kaminsky,4600,CHA,PF,UTA,26.2538,57.0735,8.9862,19.5352,17.62,38.3043
Joe Johnson,4100,UTA,SF,CHA,22.568,55.0439,6.552,15.9805,14.56,35.5122
Royce O'Neale,3600,UTA,SF,CHA,11.628,32.3,1.292,3.58889,6.46,17.9444
Ekpe Udoh,4800,UTA,C,CHA,20.1718,42.0246,3.1482,6.55875,11.66,24.2917
Alec Burks,3500,UTA,SG,CHA,16.9486,48.4246,3.4714,9.91829,10.21,29.1714
Jonas Jerebko,3500,UTA,PF,CHA,4.432,12.6629,1.108,3.16571,2.77,7.91429
Marvin Williams,3600,CHA,PF,UTA,22.3792,62.1644,9.1408,25.3911,15.76,43.7778
Michael Kidd-Gilchrist,4400,CHA,SF,UTA,25.4016,57.7309,9.8784,22.4509,17.64,40.0909
Caris LeVert,5600,BKN,SG,ATL,37.773,67.4518,18.187,32.4768,27.98,49.9643
DeMarre Carroll,4800,BKN,SF,ATL,28.1132,58.5692,13.8468,28.8475,20.98,43.7083
Allen Crabbe,5600,BKN,SF,ATL,31.4568,56.1729,14.8032,26.4343,23.13,41.3036
Rondae Hollis-Jefferson,7600,BKN,PF,ATL,48.9872,64.4568,23.0528,30.3326,36.02,47.3947
Treveon Graham,3500,CHA,SG,UTA,13.9444,39.8411,5.6956,16.2731,9.82,28.0571
Nicolas Batum,5300,CHA,SG,UTA,34.5788,65.2430,15.9012,30.0023,25.24,47.6226
Malik Monk,3500,CHA,SG,UTA,7.308,20.88,0.812,2.32,4.06,11.6
Johnny O'Bryant,3500,CHA,PF,UTA,15.0684,43.0526,2.2516,6.43314,8.66,24.7429
Michael Carter-Williams,3500,CHA,PG,UTA,14.88,42.5143,4.96,14.1714,9.92,28.3429
Aaron Gordon,7100,ORL,PF,WAS,48.4295,68.2106,22.2705,31.3669,35.35,49.7887
