name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,59100,19.09125
C.J. Miles,3600,TOR,SF,LAL,23.4906,6.52517,8.4694,2.35261,15.98,4.43889,0,,,
Josh Jackson,4200,PHO,SF,HOU,23.976,5.70857,8.424,2.00571,16.2,3.85714,0,,,
Montrezl Harrell,4800,LAC,PF,NOP,31.5842,6.58004,8.3958,1.74912,19.99,4.16458,0,,,
Luke Kennard,4200,DET,SG,CLE,32.2611,7.68121,8.3189,1.98069,20.29,4.83095,0,,,
Darius Miller,3900,NOP,SF,LAC,27.528,7.05846,7.992,2.04923,17.76,4.55385,0,,,
Sterling Brown,3500,MIL,SG,CHI,30.7665,8.79043,7.9335,2.26671,19.35,5.52857,0,,,
Jeff Green,3800,CLE,PF,DET,21.8883,5.76008,7.8917,2.07676,14.89,3.91842,0,,,
Reggie Bullock,3500,DET,SF,CLE,31.6526,9.0436,7.6674,2.19069,19.66,5.61714,0,,,
Jerami Grant,3700,OKC,PF,PHI,18.2736,4.93881,7.6464,2.06659,12.96,3.5027,0,,,
Patty Mills,3900,SAS,PG,SAC,21.1974,5.43523,7.6426,1.95964,14.42,3.69744,0,,,
Langston Galloway,3800,DET,PG,CLE,32.2704,8.49221,7.5696,1.992,19.92,5.24211,0,,,
Fred VanVleet,4500,TOR,PG,LAL,26.8164,5.9592,7.5636,1.6808,17.19,3.82,0,,,
Amir Johnson,3500,PHI,PF,OKC,23.3016,6.6576,7.3584,2.1024,15.33,4.38,0,,,
David Nwaba,4000,CHI,SF,MIL,20.0067,5.00168,7.2133,1.80332,13.61,3.4025,0,,,
Raymond Felton,3600,OKC,PG,PHI,17.1738,4.7705,7.1862,1.99617,12.18,3.38333,0,,,
Luc Richard Mbah a Moute,3600,HOU,PF,PHO,23.5445,6.54014,6.8355,1.89875,15.19,4.21944,0,,,
Stanley Johnson,3800,DET,SF,CLE,15.54,4.08947,6.66,1.75263,11.1,2.92105,0,,,
Matthew Dellavedova,3500,MIL,PG,CHI,20.385,5.82429,6.615,1.89,13.5,3.85714,0,,,
OG Anunoby,3900,TOR,SF,LAL,16.2448,4.16533,6.4752,1.66031,11.36,2.91282,0,,,
Timothe Luwawu-Cabarrot,4200,PHI,SG,OKC,24.2056,5.76324,6.4344,1.532,15.32,3.64762,0,,,
Jae Crowder,3700,CLE,PF,DET,16.2,4.37838,6.3,1.7027,11.25,3.04054,0,,,
Nene ,3500,HOU,C,PHO,17.6268,5.03623,6.1932,1.76949,11.91,3.40286,0,,,
Tony Parker,4200,SAS,PG,SAC,13.7448,3.27257,6.1752,1.47029,9.96,2.37143,0,,,
Georgios Papagiannis,3500,SAC,C,SAS,25.4702,7.2772,6.1698,1.7628,15.82,4.52,0,,,
Justin Jackson,3500,SAC,SF,SAS,25.677,7.33629,6.023,1.72086,15.85,4.52857,0,,,
Thon Maker,3500,MIL,C,CHI,19.4463,5.55609,5.9737,1.70677,12.71,3.63143,0,,,
Trevor Booker,3600,PHI,PF,OKC,22.0568,6.12689,5.8632,1.62867,13.96,3.87778,0,,,
Justin Anderson,3600,PHI,SF,OKC,19.9068,5.52967,5.1332,1.42589,12.52,3.47778,0,,,
Kyle Korver,3500,CLE,SG,DET,14.4809,4.1374,4.6991,1.3426,9.59,2.74,0,,,
Manu Ginobili,4100,SAS,SG,SAC,17.1114,4.17351,4.5486,1.10941,10.83,2.64146,0,,,
Jameer Nelson,3500,NOP,PG,LAC,14.9916,4.28331,4.2284,1.20811,9.61,2.74571,0,,,
Troy Daniels,3600,PHO,SG,HOU,22.3249,6.20136,4.0951,1.13753,13.21,3.66944,0,,,
Channing Frye,3500,CLE,C,DET,16.336,4.66743,4.084,1.16686,10.21,2.91714,0,,,
Tyler Ulis,3600,PHO,PG,HOU,12.12,3.36667,4.04,1.12222,8.08,2.24444,0,,,
Josh Hart,3500,LAL,SG,TOR,23.4954,6.71297,3.9846,1.13846,13.74,3.92571,0,,,
Boban Marjanovic,3800,DET,C,CLE,27.4912,7.23453,3.7488,0.986526,15.62,4.11053,0,,,
Joffrey Lauvergne,3600,SAS,C,SAC,19.4181,5.39392,3.5619,0.989417,11.49,3.19167,0,,,
Patrick Patterson,3500,OKC,PF,PHI,13.3826,3.8236,3.5574,1.0164,8.47,2.42,0,,,
Bryn Forbes,3600,SAS,SG,SAC,12.5892,3.497,3.5508,0.986333,8.07,2.24167,0,,,
Davis Bertans,4400,SAS,PF,SAC,30.15,6.85227,3.35,0.761364,16.75,3.80682,0,,,
Dragan Bender,3600,PHO,PF,HOU,15.1536,4.20933,3.3264,0.924,9.24,2.56667,0,,,
Sam Dekker,3500,LAC,SF,NOP,13.7172,3.9192,3.3228,0.949371,8.52,2.43429,0,,,
Omer Asik,3500,NOP,C,LAC,23.3994,6.68554,3.0406,0.868743,13.22,3.77714,0,,,
Vince Carter,4200,SAC,SF,SAS,20.475,4.875,2.925,0.696429,11.7,2.78571,0,,,
Terrance Ferguson,3500,OKC,SG,PHI,25.02,7.14857,2.78,0.794286,13.9,3.97143,0,,,
Ian Clark,3500,NOP,PG,LAC,14.7748,4.22137,2.4052,0.6872,8.59,2.45429,0,,,
Tyler Ennis,3500,LAL,PG,TOR,20.646,5.89886,2.294,0.655429,11.47,3.27714,0,,,
Alex Caruso,3900,LAL,SG,TOR,20.394,5.22923,2.266,0.581026,11.33,2.90513,0,,,
Alex Abrines,3500,OKC,SG,PHI,16.7088,4.77394,2.1712,0.620343,9.44,2.69714,0,,,
Jared Dudley,3500,PHO,PF,HOU,18.864,5.38971,2.096,0.598857,10.48,2.99429,0,,,
Cheick Diallo,3500,NOP,PF,LAC,8.032,2.29486,2.008,0.573714,5.02,1.43429,0,,,
Sindarius Thornwell,3500,LAC,PG,NOP,13.65,3.9,1.95,0.557143,7.8,2.22857,0,,,
Jason Terry,3500,MIL,SG,CHI,16.2,4.62857,1.8,0.514286,9,2.57143,0,,,
Josh Huestis,3500,OKC,SF,PHI,8.6506,2.4716,1.7094,0.4884,5.18,1.48,0,,,
Eric Moreland,3500,DET,PF,CLE,6.8681,1.96231,1.0719,0.306257,3.97,1.13429,0,,,
Dwight Buycks,3700,DET,PG,CLE,1.323,0.357568,0.477,0.128919,0.9,0.243243,0,,,
