name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Ish Smith,5700,DET,PG,ATL,360593,63262,162006,28422,261300,45842,0,=(h76-$h$182)/(b76-$b$182)
Jayson Tatum,5400,BOS,SF,LAC,365431,67672,160369,29698,262900,48685,0,=(h77-$h$184)/(b77-$b$184)
Justin Holiday,5200,CHI,SG,TOR,309012,59425,159188,30613,234100,45019,0,=(h78-$h$82)/(b78-$b$82)
J.J. Redick,5000,PHI,SG,MIA,288702,57740,158898,31779,223800,44760,0,=(h79-$h$82)/(b79-$b$82)
Marcin Gortat,5500,WAS,C,NYK,356674,64849,156526,28459,256600,46654,0
Serge Ibaka,5400,TOR,PF,CHI,312086,57793,153714,28465,232900,43129,0,=(h81-$h$142)/(b81-$b$142)
Tim Hardaway Jr.,5500,NYK,SG,WAS,410989,74725,152010,27638,281500,51181,1
Markieff Morris,6100,WAS,PF,NYK,381094,62474,151905,24902,266500,43688,0,=(h83-$h$142)/(b83-$b$142)
Rajon Rondo,6300,NOP,PG,LAL,484857,76961,148943,23641,316900,50301,0,=(h84-$h$182)/(b84-$b$182)
Taurean Prince,4000,ATL,SF,DET,410130,102532,147870,36967,279000,69750,1
Al-Farouq Aminu,4900,POR,PF,GSW,306990,62651,147810,30165,227399,46408,0,=(h86-$h$142)/(b86-$b$142)
Jonathon Simmons,5800,ORL,SF,CHA,364221,62796,145179,25030,254700,43913,0,=(h87-$h$184)/(b87-$b$184)
Kelly Oubre,5100,WAS,SF,NYK,326650,64048,143350,28107,235000,46078,0,=(h88-$h$184)/(b88-$b$184)
Michael Beasley,6800,NYK,SF,WAS,571200,84000,142800,21000,357000,52500,0,=(h89-$h$184)/(b89-$b$184)
Courtney Lee,4600,NYK,SG,WAS,289440,62921,142560,30991,216000,46956,0
JaMychal Green,4600,MEM,PF,OKC,324520,70547,139080,30234,231800,50391,0,=(h91-$h$142)/(b91-$b$142)
Kris Dunn,7000,CHI,PG,TOR,294576,42082,138624,19803,216600,30942,0,=(h92-$h$182)/(b92-$b$182)
Allen Crabbe,5300,BKN,SF,IND,299756,56557,137844,26008,218800,41283,0,=(h93-$h$184)/(b93-$b$184)
Terry Rozier,6100,BOS,PG,LAC,391756,64222,137644,22564,264700,43393,0,=(h94-$h$182)/(b94-$b$182)
Robin Lopez,4500,CHI,C,TOR,274164,60925,135036,30008,204600,45466,0
Cory Joseph,4300,IND,PG,BKN,320493,74533,134107,31187,227300,52860,0,=(h96-$h$182)/(b96-$b$182)
D'Angelo Russell,6000,BKN,SG,IND,402717,67119,130683,21780,266700,44450,0
Lance Stephenson,5000,IND,SF,BKN,325897,65179,129903,25980,227900,45580,0,=(h98-$h$184)/(b98-$b$184)
Dwyane Wade,4700,MIA,SG,PHI,305688,65039,127912,27215,216800,46127,0
Jeremy Lamb,4600,CHA,SF,ORL,269688,58627,126912,27589,198299,43108,0,=(h100-$h$184)/(b100-$b$184)
E'Twaun Moore,4300,NOP,SF,LAL,274548,63848,126252,29360,200400,46604,0,=(h101-$h$184)/(b101-$b$184)
Eric Gordon,4700,HOU,SG,SAC,273589,58210,125811,26768,199700,42489,0
Bojan Bogdanovic,5500,IND,SF,BKN,303170,55121,123829,22514,213500,38818,0,=(h103-$h$184)/(b103-$b$184)
Josh Jackson,5500,PHO,SF,UTA,379916,69075,123284,22415,251600,45745,0,=(h104-$h$184)/(b104-$b$184)
Jae Crowder,4400,UTA,PF,PHO,300443,68282,119757,27217,210100,47750,0,=(h105-$h$142)/(b105-$b$142)
Denzel Valentine,4600,CHI,SF,TOR,264270,57450,118730,25810,191500,41630,0,=(h106-$h$184)/(b106-$b$184)
Tyler Johnson,4200,MIA,PG,PHI,269799,64237,118401,28190,194100,46214,0,=(h107-$h$182)/(b107-$b$182)
James Johnson,4300,MIA,PF,PHI,302688,70392,117712,27374,210200,48883,0,=(h108-$h$142)/(b108-$b$142)
Stanley Johnson,5300,DET,SF,ATL,326340,61573,117660,22200,222000,41886,0,=(h109-$h$184)/(b109-$b$184)
Jerami Grant,4900,OKC,PF,MEM,287550,58683,117449,23969,202500,41326,0,=(h110-$h$142)/(b110-$b$142)
Andre Iguodala,4500,GSW,SF,POR,243405,54090,117195,26043,180300,40066,0,=(h111-$h$184)/(b111-$b$184)
Joe Harris,4500,BKN,SF,IND,253039,56230,116361,25858,184700,41044,0,=(h112-$h$184)/(b112-$b$184)
Avery Bradley,4100,LAC,SG,BOS,268660,65526,115140,28082,191900,46804,0
Jarrett Allen,5800,BKN,C,IND,351880,60669,111120,19158,231500,39913,0
Malcolm Delaney,3500,ATL,PG,DET,346256,98930,109344,31241,227800,65085,1
David West,4700,GSW,PF,POR,226530,48197,109070,23206,167800,35702,0,=(h116-$h$142)/(b116-$b$142)
Marvin Williams,4000,CHA,PF,ORL,260428,65107,106372,26593,183400,45850,0,=(h117-$h$142)/(b117-$b$142)
Reggie Bullock,4700,DET,SF,ATL,366265,77928,106335,22624,236300,50276,0,=(h118-$h$184)/(b118-$b$184)
Delon Wright,4400,TOR,PG,CHI,327670,74470,106329,24165,217000,49318,0,=(h119-$h$182)/(b119-$b$182)
Cody Zeller,3600,CHA,C,ORL,201871,56075,106329,29535,154100,42805,0
D.J. Augustin,5400,ORL,PG,CHA,345933,64061,106267,19679,226100,41870,0,=(h121-$h$182)/(b121-$b$182)
