name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
LaMarcus Aldridge,8800,SAS,PF,ATL,53.125,6.03693,31.875,3.62216,42.5,4.82955
Kyle Anderson,5300,SAS,SF,ATL,32.6976,6.16936,17.2224,3.24951,24.96,4.70943
Tyler Zeller,3500,BKN,C,NYK,16.6944,4.76983,6.9856,1.99589,11.84,3.38286
Joe Harris,3600,BKN,SF,NYK,20.6176,5.72711,9.7024,2.69511,15.16,4.21111
Rondae Hollis-Jefferson,7000,BKN,PF,NYK,43.605,6.22929,20.995,2.99929,32.3,4.61429
Allen Crabbe,4600,BKN,SF,NYK,31.212,6.78522,15.028,3.26696,23.12,5.02609
Spencer Dinwiddie,6400,BKN,PG,NYK,45.8422,7.16284,20.1178,3.14341,32.98,5.15312
Jarrett Allen,3900,BKN,C,NYK,19.4155,4.97833,7.3645,1.88833,13.39,3.43333
Quincy Acy,3700,BKN,PF,NYK,18.5058,5.00157,6.3342,1.71195,12.42,3.35676
Kemba Walker,8500,CHA,PG,DET,47.625,5.60294,27.375,3.22059,37.5,4.41176
