Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,,,,,D,Colin Miller (13778101),Colin Miller,13778101,D/UTIL,3400,BUF@CHI 11/17/2019 07:00PM ET,BUF,4.97
,,,,,,,,,,,,,,C,Cody Eakin (13777931),Cody Eakin,13777931,C/UTIL,3400,CGY@VGK 11/17/2019 07:00PM ET,VGK,3.46
,,,,,,,,,,,,,,D,Nick Holden (13778103),Nick Holden,13778103,D/UTIL,3300,CGY@VGK 11/17/2019 07:00PM ET,VGK,6.5
,,,,,,,,,,,,,,LW,Jimmy Vesey (13778003),Jimmy Vesey,13778003,W/UTIL,3200,BUF@CHI 11/17/2019 07:00PM ET,BUF,3
,,,,,,,,,,,,,,D,Brent Seabrook (13778105),Brent Seabrook,13778105,D/UTIL,3200,BUF@CHI 11/17/2019 07:00PM ET,CHI,6.71
,,,,,,,,,,,,,,C,Derek Ryan (13777933),Derek Ryan,13777933,C/UTIL,3200,CGY@VGK 11/17/2019 07:00PM ET,CGY,5.14
,,,,,,,,,,,,,,RW,Curtis Lazar (13778005),Curtis Lazar,13778005,W/UTIL,3100,BUF@CHI 11/17/2019 07:00PM ET,BUF,8.35
,,,,,,,,,,,,,,D,Marco Scandella (13778107),Marco Scandella,13778107,D/UTIL,3100,BUF@CHI 11/17/2019 07:00PM ET,BUF,5.98
,,,,,,,,,,,,,,C,David Kampf (13777935),David Kampf,13777935,C/UTIL,3000,BUF@CHI 11/17/2019 07:00PM ET,CHI,5.96
,,,,,,,,,,,,,,RW,Vladimir Sobotka (13778009),Vladimir Sobotka,13778009,W/UTIL,3000,BUF@CHI 11/17/2019 07:00PM ET,BUF,3.88
,,,,,,,,,,,,,,LW,Cody Glass (13778007),Cody Glass,13778007,W/UTIL,3000,CGY@VGK 11/17/2019 07:00PM ET,VGK,4.72
,,,,,,,,,,,,,,D,Brayden McNabb (13778109),Brayden McNabb,13778109,D/UTIL,3000,CGY@VGK 11/17/2019 07:00PM ET,VGK,5.06
,,,,,,,,,,,,,,LW,Sam Bennett (13778011),Sam Bennett,13778011,W/UTIL,2900,CGY@VGK 11/17/2019 07:00PM ET,CGY,4.94
,,,,,,,,,,,,,,D,T.J. Brodie (13778111),T.J. Brodie,13778111,D/UTIL,2900,CGY@VGK 11/17/2019 07:00PM ET,CGY,5.56
,,,,,,,,,,,,,,C,Kirby Dach (13777937),Kirby Dach,13777937,C/UTIL,2800,BUF@CHI 11/17/2019 07:00PM ET,CHI,5.33
,,,,,,,,,,,,,,RW,Michael Frolik (13778013),Michael Frolik,13778013,W/UTIL,2800,CGY@VGK 11/17/2019 07:00PM ET,CGY,2.68
,,,,,,,,,,,,,,D,Nicolas Hague (13778113),Nicolas Hague,13778113,D/UTIL,2800,CGY@VGK 11/17/2019 07:00PM ET,VGK,3.57
,,,,,,,,,,,,,,RW,Austin Czarnik (13778015),Austin Czarnik,13778015,W/UTIL,2700,CGY@VGK 11/17/2019 07:00PM ET,CGY,4.76
,,,,,,,,,,,,,,LW,Brandon Pirri (13778017),Brandon Pirri,13778017,W/UTIL,2700,CGY@VGK 11/17/2019 07:00PM ET,VGK,3.42
,,,,,,,,,,,,,,D,Michael Stone (13778115),Michael Stone,13778115,D/UTIL,2700,CGY@VGK 11/17/2019 07:00PM ET,CGY,5.4
,,,,,,,,,,,,,,D,Olli Maatta (13778117),Olli Maatta,13778117,D/UTIL,2600,BUF@CHI 11/17/2019 07:00PM ET,CHI,5.23
,,,,,,,,,,,,,,D,Zach Bogosian (13778121),Zach Bogosian,13778121,D/UTIL,2600,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,C,Nicolas Roy (13777939),Nicolas Roy,13777939,C/UTIL,2600,CGY@VGK 11/17/2019 07:00PM ET,VGK,5.02
,,,,,,,,,,,,,,LW,William Carrier (13778019),William Carrier,13778019,W/UTIL,2600,CGY@VGK 11/17/2019 07:00PM ET,VGK,3.96
,,,,,,,,,,,,,,D,Deryk Engelland (13778119),Deryk Engelland,13778119,D/UTIL,2600,CGY@VGK 11/17/2019 07:00PM ET,VGK,6.39
,,,,,,,,,,,,,,C,Johan Larsson (13777943),Johan Larsson,13777943,C/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,4.1
,,,,,,,,,,,,,,C,Rasmus Asplund (13777947),Rasmus Asplund,13777947,C/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,3
,,,,,,,,,,,,,,C,Jean-Sebastien Dea (13777949),Jean-Sebastien Dea,13777949,C/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,C,Jacob Nilsson (13777951),Jacob Nilsson,13777951,C/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,0
,,,,,,,,,,,,,,C,Arttu Ruotsalainen (13777959),Arttu Ruotsalainen,13777959,C/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,C,Dylan Cozens (13777961),Dylan Cozens,13777961,C/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,RW,Kyle Okposo (13778021),Kyle Okposo,13778021,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,3.2
,,,,,,,,,,,,,,LW,Zemgus Girgensons (13778023),Zemgus Girgensons,13778023,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,3.01
,,,,,,,,,,,,,,RW,Zack Smith (13778025),Zack Smith,13778025,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,2.98
,,,,,,,,,,,,,,LW,Ryan Carpenter (13778027),Ryan Carpenter,13778027,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,4.12
,,,,,,,,,,,,,,RW,Drake Caggiula (13778037),Drake Caggiula,13778037,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,4.14
,,,,,,,,,,,,,,RW,Dylan Sikura (13778041),Dylan Sikura,13778041,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,0
,,,,,,,,,,,,,,LW,Remi Elie (13778043),Remi Elie,13778043,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,LW,John Quenneville (13778045),John Quenneville,13778045,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,0
,,,,,,,,,,,,,,RW,Tage Thompson (13778047),Tage Thompson,13778047,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,LW,Anton Wedin (13778049),Anton Wedin,13778049,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,0
,,,,,,,,,,,,,,LW,Scott Wilson (13778053),Scott Wilson,13778053,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,LW,C.J. Smith (13778057),C.J. Smith,13778057,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,RW,Matthew Highmore (13778059),Matthew Highmore,13778059,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,0
,,,,,,,,,,,,,,LW,Alexandre Fortin (13778065),Alexandre Fortin,13778065,W/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,0
,,,,,,,,,,,,,,D,Connor Murphy (13778127),Connor Murphy,13778127,D/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,4.86
,,,,,,,,,,,,,,D,John Gilmour (13778131),John Gilmour,13778131,D/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,3.3
,,,,,,,,,,,,,,D,Slater Koekkoek (13778133),Slater Koekkoek,13778133,D/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,4.86
,,,,,,,,,,,,,,D,Matt Hunwick (13778135),Matt Hunwick,13778135,D/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,D,Adam Boqvist (13778143),Adam Boqvist,13778143,D/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,4.57
,,,,,,,,,,,,,,D,William Borgen (13778147),William Borgen,13778147,D/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,D,Nicolas Beaudin (13778149),Nicolas Beaudin,13778149,D/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,0
,,,,,,,,,,,,,,D,Dennis Gilbert (13778155),Dennis Gilbert,13778155,D/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,2.3
,,,,,,,,,,,,,,D,Casey Nelson (13778157),Casey Nelson,13778157,D/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,D,Lawrence Pilut (13778159),Lawrence Pilut,13778159,D/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,D,Ian McCoshen (13778161),Ian McCoshen,13778161,D/UTIL,2500,BUF@CHI 11/17/2019 07:00PM ET,CHI,0
,,,,,,,,,,,,,,C,Mark Jankowski (13777941),Mark Jankowski,13777941,C/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,1.33
,,,,,,,,,,,,,,C,Tomas Nosek (13777945),Tomas Nosek,13777945,C/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,5.35
,,,,,,,,,,,,,,C,Matthew Phillips (13777953),Matthew Phillips,13777953,C/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,C,Peyton Krebs (13777955),Peyton Krebs,13777955,C/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,0
,,,,,,,,,,,,,,C,Byron Froese (13777957),Byron Froese,13777957,C/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,C,Patrick Brown (13777963),Patrick Brown,13777963,C/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,0
,,,,,,,,,,,,,,RW,Tobias Rieder (13778029),Tobias Rieder,13778029,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,3.15
,,,,,,,,,,,,,,LW,Milan Lucic (13778031),Milan Lucic,13778031,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,3.02
,,,,,,,,,,,,,,RW,Ryan Reaves (13778033),Ryan Reaves,13778033,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,2.96
,,,,,,,,,,,,,,LW,Alan Quine (13778035),Alan Quine,13778035,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,3.23
,,,,,,,,,,,,,,LW,Valentin Zykov (13778039),Valentin Zykov,13778039,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,3.49
,,,,,,,,,,,,,,RW,Spencer Foo (13778051),Spencer Foo,13778051,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,LW,Ryan Lomberg (13778055),Ryan Lomberg,13778055,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,LW,Tyrell Goulbourne (13778061),Tyrell Goulbourne,13778061,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,0
,,,,,,,,,,,,,,LW,Dillon Dube (13778063),Dillon Dube,13778063,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,LW,Justin Kirkland (13778067),Justin Kirkland,13778067,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,LW,Curtis McKenzie (13778069),Curtis McKenzie,13778069,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,0
,,,,,,,,,,,,,,LW,Jakob Pelletier (13778071),Jakob Pelletier,13778071,W/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,D,Jon Merrill (13778123),Jon Merrill,13778123,D/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,3.76
,,,,,,,,,,,,,,D,Brandon Davidson (13778125),Brandon Davidson,13778125,D/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,D,Oliver Kylington (13778129),Oliver Kylington,13778129,D/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,2.69
,,,,,,,,,,,,,,D,Juuso Valimaki (13778137),Juuso Valimaki,13778137,D/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,D,Jake Bischoff (13778139),Jake Bischoff,13778139,D/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,6.35
,,,,,,,,,,,,,,D,Jimmy Schuldt (13778141),Jimmy Schuldt,13778141,D/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,0
,,,,,,,,,,,,,,D,Rinat Valiev (13778145),Rinat Valiev,13778145,D/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,D,Alexander Yelesin (13778151),Alexander Yelesin,13778151,D/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,D,Zach Whitecloud (13778153),Zach Whitecloud,13778153,D/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,0
,,,,,,,,,,,,,,D,Jaycob Megna (13778163),Jaycob Megna,13778163,D/UTIL,2500,CGY@VGK 11/17/2019 07:00PM ET,VGK,0
