Entry ID,Contest Name,Contest ID,Entry Fee,F,F,F,F,F,F,,Instructions,,,,,,,,
1655235759,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andrew Sanchez (13543592),Andre Ewell (13543586),Mike Davis (13543581),JJ Aldrich (13543569),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,F,Joanna Jedrzejczyk (13543565),Joanna Jedrzejczyk,13543565,F,9200,Jedrzejczyk@Waterson 10/12/2019 05:00PM ET,Jedrzejczyk,84.38
1655235760,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Amanda Ribas (13543572),Alex Morono (13543574),Mike Davis (13543581),JJ Aldrich (13543569),Joanna Jedrzejczyk (13543565),,F,Marlon Vera (13543585),Marlon Vera,13543585,F,9100,Ewell@Vera 10/12/2019 05:00PM ET,Vera,71.54
1655235761,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Gerald Meerschaert (13543576),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,F,Luis Pena (13543587),Luis Pena,13543587,F,9000,Frevola@Pena 10/12/2019 05:00PM ET,Pena,83.75
1655235762,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Cub Swanson (13543580),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,JJ Aldrich (13543569),JJ Aldrich,13543569,F,8900,Aldrich@Mueller 10/12/2019 05:00PM ET,Aldrich,45
1655235763,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Devin Clark (13543568),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Ryan Spann (13543567),Ryan Spann,13543567,F,8800,Clark@Spann 10/12/2019 05:00PM ET,Spann,93.75
1655235764,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Lauren Mueller (13543570),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Kron Gracie (13543579),Kron Gracie,13543579,F,8700,Gracie@Swanson 10/12/2019 05:00PM ET,Gracie,99
1655235765,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Matt Frevola (13543588),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Mike Davis (13543581),Mike Davis,13543581,F,8600,Davis@Gifford 10/12/2019 05:00PM ET,Davis,6.5
1655235766,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Tim Elliott (13543578),Andre Ewell (13543586),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Eryk Anders (13543575),Eryk Anders,13543575,F,8500,Anders@Meerschaert 10/12/2019 05:00PM ET,Anders,67.38
1655235767,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Hector Aldana (13543584),Andre Ewell (13543586),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Niko Price (13543589),Niko Price,13543589,F,8400,Price@Vick 10/12/2019 05:00PM ET,Price,72.89
1655235768,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andrew Sanchez (13543592),Andre Ewell (13543586),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,F,Mackenzie Dern (13543571),Mackenzie Dern,13543571,F,8300,Dern@Ribas 10/12/2019 05:00PM ET,Dern,94.75
1655235769,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),James Vick (13543590),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,F,Max Griffin (13543573),Max Griffin,13543573,F,8200,Griffin@Morono 10/12/2019 05:00PM ET,Griffin,62.86
1655235770,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Gerald Meerschaert (13543576),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Alex Morono (13543574),Alex Morono,13543574,F,8000,Griffin@Morono 10/12/2019 05:00PM ET,Morono,63.31
1655235771,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Cub Swanson (13543580),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Amanda Ribas (13543572),Amanda Ribas,13543572,F,7900,Dern@Ribas 10/12/2019 05:00PM ET,Ribas,99.5
1655235772,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Devin Clark (13543568),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,James Vick (13543590),James Vick,13543590,F,7800,Price@Vick 10/12/2019 05:00PM ET,Vick,61.96
1655235773,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Lauren Mueller (13543570),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Gerald Meerschaert (13543576),Gerald Meerschaert,13543576,F,7700,Anders@Meerschaert 10/12/2019 05:00PM ET,Meerschaert,73.88
1655235774,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Matt Frevola (13543588),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Thomas Gifford (13543582),Thomas Gifford,13543582,F,7600,Davis@Gifford 10/12/2019 05:00PM ET,Gifford,23
1655235775,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Tim Elliott (13543578),Andre Ewell (13543586),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Cub Swanson (13543580),Cub Swanson,13543580,F,7500,Gracie@Swanson 10/12/2019 05:00PM ET,Swanson,69.12
1655235776,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Hector Aldana (13543584),Andre Ewell (13543586),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Devin Clark (13543568),Devin Clark,13543568,F,7400,Clark@Spann 10/12/2019 05:00PM ET,Clark,53.5
1655235777,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andrew Sanchez (13543592),Andre Ewell (13543586),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,F,Lauren Mueller (13543570),Lauren Mueller,13543570,F,7300,Aldrich@Mueller 10/12/2019 05:00PM ET,Mueller,35.67
1655235778,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Gerald Meerschaert (13543576),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Matt Frevola (13543588),Matt Frevola,13543588,F,7200,Frevola@Pena 10/12/2019 05:00PM ET,Frevola,50.67
1655235779,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Cub Swanson (13543580),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Andre Ewell (13543586),Andre Ewell,13543586,F,7100,Ewell@Vera 10/12/2019 05:00PM ET,Ewell,48.5
1655235780,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Devin Clark (13543568),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Michelle Waterson (13543566),Michelle Waterson,13543566,F,7000,Jedrzejczyk@Waterson 10/12/2019 05:00PM ET,Waterson,72.86
1655235781,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Lauren Mueller (13543570),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Tim Elliott (13543578),Tim Elliott,13543578,F,6900,Elliott@Figueiredo 10/12/2019 05:00PM ET,Elliott,70.8
1655235782,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Matt Frevola (13543588),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Hector Aldana (13543584),Hector Aldana,13543584,F,6800,Aldana@Baeza 10/12/2019 05:00PM ET,Aldana,32
1655235783,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Tim Elliott (13543578),Andre Ewell (13543586),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,F,Andrew Sanchez (13543592),Andrew Sanchez,13543592,F,6700,Sanchez@Vettori 10/12/2019 05:00PM ET,Sanchez,75.42
1655235784,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Hector Aldana (13543584),Andre Ewell (13543586),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235785,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andrew Sanchez (13543592),Andre Ewell (13543586),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,,,,,,,,,
1655235786,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Cub Swanson (13543580),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235787,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Devin Clark (13543568),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235788,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Lauren Mueller (13543570),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235789,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Matt Frevola (13543588),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235790,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Tim Elliott (13543578),Andre Ewell (13543586),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235791,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Hector Aldana (13543584),Andre Ewell (13543586),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235792,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andrew Sanchez (13543592),Andre Ewell (13543586),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,,,,,,,,,
1655235793,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Devin Clark (13543568),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235794,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Lauren Mueller (13543570),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235795,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Matt Frevola (13543588),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235796,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Tim Elliott (13543578),Andre Ewell (13543586),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235797,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Hector Aldana (13543584),Andre Ewell (13543586),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235798,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andrew Sanchez (13543592),Andre Ewell (13543586),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,,,,,,,,,
1655235799,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Lauren Mueller (13543570),Devin Clark (13543568),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235800,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Matt Frevola (13543588),Devin Clark (13543568),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235801,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Tim Elliott (13543578),Andre Ewell (13543586),Devin Clark (13543568),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235802,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Hector Aldana (13543584),Andre Ewell (13543586),Devin Clark (13543568),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235803,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andrew Sanchez (13543592),Andre Ewell (13543586),Devin Clark (13543568),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,,,,,,,,,
1655235804,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andre Ewell (13543586),Matt Frevola (13543588),Lauren Mueller (13543570),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235805,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Tim Elliott (13543578),Andre Ewell (13543586),Lauren Mueller (13543570),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235806,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Hector Aldana (13543584),Andre Ewell (13543586),Lauren Mueller (13543570),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235807,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andrew Sanchez (13543592),Andre Ewell (13543586),Lauren Mueller (13543570),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,,,,,,,,,
1655235808,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Tim Elliott (13543578),Andre Ewell (13543586),Matt Frevola (13543588),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235809,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Hector Aldana (13543584),Andre Ewell (13543586),Matt Frevola (13543588),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235810,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andrew Sanchez (13543592),Andre Ewell (13543586),Matt Frevola (13543588),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,,,,,,,,,
1655235811,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Hector Aldana (13543584),Tim Elliott (13543578),Andre Ewell (13543586),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),,,,,,,,,,
1655235812,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andrew Sanchez (13543592),Tim Elliott (13543578),Andre Ewell (13543586),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),,,,,,,,,,
1655235813,MMA $12K mini-MAX [150 Max Entry],77936054,$1,Andrew Sanchez (13543592),Hector Aldana (13543584),Andre Ewell (13543586),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Deiveson Figueiredo (13543577),,,,,,,,,,
