Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
1762427220,NFL $100K Play-Action [20 Entry Max] (Afternoon Only),81784469,$3,Derek Carr (13863931),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Cooper Kupp (13863993),Christian Kirk (13864069),Darren Waller (13863950),Tim Patrick (13864055),,,QB,Kyler Murray (13864074),Kyler Murray,13864074,QB,6400,LAR@ARI 12/01/2019 04:05PM ET,ARI,21.54
1762427221,NFL $100K Play-Action [20 Entry Max] (Afternoon Only),81784469,$3,Derek Carr (13863931),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Cooper Kupp (13863993),Keenan Allen (13863938),Darren Waller (13863950),Tim Patrick (13864055),,,RB,Melvin Gordon III (13863963),Melvin Gordon III,13863963,RB/FLEX,6400,LAC@DEN 12/01/2019 04:25PM ET,LAC,14.01
1762427222,NFL $100K Play-Action [20 Entry Max] (Afternoon Only),81784469,$3,Patrick Mahomes (13864063),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Christian Kirk (13864069),Mecole Hardman (13864081),Hunter Henry (13864010),Tim Patrick (13864055),,,QB,Jared Goff (13863999),Jared Goff,13863999,QB,6000,LAR@ARI 12/01/2019 04:05PM ET,LAR,15.42
1762427223,NFL $100K Play-Action [20 Entry Max] (Afternoon Only),81784469,$3,Derek Carr (13863931),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Keenan Allen (13863938),Christian Kirk (13864069),Darren Waller (13863950),Tim Patrick (13864055),,,TE,Hunter Henry (13864010),Hunter Henry,13864010,TE/FLEX,5800,LAC@DEN 12/01/2019 04:25PM ET,LAC,15.81
1762427224,NFL $100K Play-Action [20 Entry Max] (Afternoon Only),81784469,$3,Philip Rivers (13863913),Todd Gurley II (13863991),Phillip Lindsay (13864020),Keenan Allen (13863938),Cooper Kupp (13863993),Christian Kirk (13864069),Travis Kelce (13863926),Royce Freeman (13864049),,,WR,Courtland Sutton (13864061),Courtland Sutton,13864061,WR/FLEX,5800,LAC@DEN 12/01/2019 04:25PM ET,DEN,15.13
1762427225,NFL $100K Play-Action [20 Entry Max] (Afternoon Only),81784469,$3,Derek Carr (13863931),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Keenan Allen (13863938),Christian Kirk (13864069),Darren Waller (13863950),Tim Patrick (13864055),,,WR,Christian Kirk (13864069),Christian Kirk,13864069,WR/FLEX,5700,LAR@ARI 12/01/2019 04:05PM ET,ARI,15.92
1762427226,NFL $30K First Down [20 Entry Max] (Afternoon Only),81784471,$1,Kyler Murray (13864074),Todd Gurley II (13863991),LeSean McCoy (13863919),Christian Kirk (13864069),Cooper Kupp (13863993),Keenan Allen (13863938),Travis Kelce (13863926),Tim Patrick (13864055),,,RB,Austin Ekeler (13864028),Austin Ekeler,13864028,RB/FLEX,5700,LAC@DEN 12/01/2019 04:25PM ET,LAC,20.56
1762427227,NFL $30K First Down [20 Entry Max] (Afternoon Only),81784471,$1,Drew Lock (13873095),Todd Gurley II (13863991),Phillip Lindsay (13864020),Courtland Sutton (13864061),Tyreek Hill (13864034),Cooper Kupp (13863993),Hunter Henry (13864010),Tim Patrick (13864055),,,RB,Kenyan Drake (13863989),Kenyan Drake,13863989,RB/FLEX,5600,LAR@ARI 12/01/2019 04:05PM ET,ARI,12.34
1762427228,NFL $30K First Down [20 Entry Max] (Afternoon Only),81784471,$1,Kyler Murray (13864074),Todd Gurley II (13863991),Phillip Lindsay (13864020),Christian Kirk (13864069),Cooper Kupp (13863993),Keenan Allen (13863938),Travis Kelce (13863926),Tim Patrick (13864055),,,QB,Derek Carr (13863931),Derek Carr,13863931,QB,5500,OAK@KC 12/01/2019 04:25PM ET,OAK,15.1
1762427229,NFL $30K First Down [20 Entry Max] (Afternoon Only),81784471,$1,Kyler Murray (13864074),Todd Gurley II (13863991),Phillip Lindsay (13864020),Christian Kirk (13864069),Cooper Kupp (13863993),Keenan Allen (13863938),Travis Kelce (13863926),Demarcus Robinson (13863997),,,TE,Darren Waller (13863950),Darren Waller,13863950,TE/FLEX,5500,OAK@KC 12/01/2019 04:25PM ET,OAK,14.02
1762427230,NFL $30K First Down [20 Entry Max] (Afternoon Only),81784471,$1,Jared Goff (13863999),Todd Gurley II (13863991),Phillip Lindsay (13864020),Cooper Kupp (13863993),Keenan Allen (13863938),Christian Kirk (13864069),Travis Kelce (13863926),Tim Patrick (13864055),,,WR,Robert Woods (13863936),Robert Woods,13863936,WR/FLEX,5500,LAR@ARI 12/01/2019 04:05PM ET,LAR,13.34
1762427231,NFL $30K First Down [20 Entry Max] (Afternoon Only),81784471,$1,Patrick Mahomes (13864063),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Cooper Kupp (13863993),Keenan Allen (13863938),Tyler Higbee (13863954),Tim Patrick (13864055),,,QB,Philip Rivers (13863913),Philip Rivers,13863913,QB,5500,LAC@DEN 12/01/2019 04:25PM ET,LAC,17.56
1762427232,NFL $30K First Down [20 Entry Max] (Afternoon Only),81784471,$1,Philip Rivers (13863913),Todd Gurley II (13863991),Phillip Lindsay (13864020),Keenan Allen (13863938),Tyreek Hill (13864034),Cooper Kupp (13863993),Hunter Henry (13864010),Tim Patrick (13864055),,,WR,Sammy Watkins (13863952),Sammy Watkins,13863952,WR/FLEX,5400,OAK@KC 12/01/2019 04:25PM ET,KC,13
1762427233,NFL $30K First Down [20 Entry Max] (Afternoon Only),81784471,$1,Patrick Mahomes (13864063),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Cooper Kupp (13863993),Keenan Allen (13863938),Tyler Higbee (13863954),Tim Patrick (13864055),,,WR,Tyrell Williams (13863973),Tyrell Williams,13863973,WR/FLEX,5400,OAK@KC 12/01/2019 04:25PM ET,OAK,12.56
1762427234,NFL $30K First Down [20 Entry Max] (Afternoon Only),81784471,$1,Kyler Murray (13864074),Todd Gurley II (13863991),Melvin Gordon III (13863963),Christian Kirk (13864069),Keenan Allen (13863938),Larry Fitzgerald (13863911),Travis Kelce (13863926),Tim Patrick (13864055),,,RB,Malcolm Brown (13863957),Malcolm Brown,13863957,RB/FLEX,5200,LAR@ARI 12/01/2019 04:05PM ET,LAR,4.21
1762427235,NFL $30K First Down [20 Entry Max] (Afternoon Only),81784471,$1,Drew Lock (13873095),Todd Gurley II (13863991),Melvin Gordon III (13863963),Courtland Sutton (13864061),Tyreek Hill (13864034),Cooper Kupp (13863993),Hunter Henry (13864010),Tim Patrick (13864055),,,WR,Brandin Cooks (13863969),Brandin Cooks,13863969,WR/FLEX,5200,LAR@ARI 12/01/2019 04:05PM ET,LAR,9.62
,,,,,,,,,,,,,,WR,Larry Fitzgerald (13863911),Larry Fitzgerald,13863911,WR/FLEX,5100,LAR@ARI 12/01/2019 04:05PM ET,ARI,12.48
,,,,,,,,,,,,,,RB,Phillip Lindsay (13864020),Phillip Lindsay,13864020,RB/FLEX,5000,LAC@DEN 12/01/2019 04:25PM ET,DEN,13.61
,,,,,,,,,,,,,,RB,LeSean McCoy (13863919),LeSean McCoy,13863919,RB/FLEX,4800,OAK@KC 12/01/2019 04:25PM ET,KC,10.17
,,,,,,,,,,,,,,QB,Mike Glennon (13863928),Mike Glennon,13863928,QB,4800,OAK@KC 12/01/2019 04:25PM ET,OAK,2.62
,,,,,,,,,,,,,,RB,Damien Williams (13863983),Damien Williams,13863983,RB/FLEX,4800,OAK@KC 12/01/2019 04:25PM ET,KC,10.61
,,,,,,,,,,,,,,QB,Drew Lock (13873095),Drew Lock,13873095,QB,4800,LAC@DEN 12/01/2019 04:25PM ET,DEN,0
,,,,,,,,,,,,,,RB,David Johnson (13863934),David Johnson,13863934,RB/FLEX,4600,LAR@ARI 12/01/2019 04:05PM ET,ARI,13.61
,,,,,,,,,,,,,,QB,Blake Bortles (13863942),Blake Bortles,13863942,QB,4600,LAR@ARI 12/01/2019 04:05PM ET,LAR,0.05
,,,,,,,,,,,,,,TE,Gerald Everett (13864059),Gerald Everett,13864059,TE/FLEX,4600,LAR@ARI 12/01/2019 04:05PM ET,LAR,8.44
,,,,,,,,,,,,,,WR,Mike Williams (13864004),Mike Williams,13864004,WR/FLEX,4600,LAC@DEN 12/01/2019 04:25PM ET,LAC,10.23
,,,,,,,,,,,,,,RB,Chase Edmonds (13864045),Chase Edmonds,13864045,RB/FLEX,4500,LAR@ARI 12/01/2019 04:05PM ET,ARI,10.62
,,,,,,,,,,,,,,QB,Matt Moore (13863910),Matt Moore,13863910,QB,4400,OAK@KC 12/01/2019 04:25PM ET,KC,10.62
,,,,,,,,,,,,,,RB,Darrel Williams (13864030),Darrel Williams,13864030,RB/FLEX,4400,OAK@KC 12/01/2019 04:25PM ET,KC,5.47
,,,,,,,,,,,,,,QB,DeShone Kizer (13864064),DeShone Kizer,13864064,QB,4300,OAK@KC 12/01/2019 04:25PM ET,OAK,0
,,,,,,,,,,,,,,WR,Hunter Renfrow (13864065),Hunter Renfrow,13864065,WR/FLEX,4300,OAK@KC 12/01/2019 04:25PM ET,OAK,7.96
,,,,,,,,,,,,,,RB,Darrell Henderson Jr. (13864079),Darrell Henderson Jr.,13864079,RB/FLEX,4300,LAR@ARI 12/01/2019 04:05PM ET,LAR,2.22
,,,,,,,,,,,,,,RB,Jalen Richard (13863987),Jalen Richard,13863987,RB/FLEX,4200,OAK@KC 12/01/2019 04:25PM ET,OAK,4.91
,,,,,,,,,,,,,,WR,Mecole Hardman (13864081),Mecole Hardman,13864081,WR/FLEX,4200,OAK@KC 12/01/2019 04:25PM ET,KC,8.8
,,,,,,,,,,,,,,QB,Brett Hundley (13863947),Brett Hundley,13863947,QB,4200,LAR@ARI 12/01/2019 04:05PM ET,ARI,0
,,,,,,,,,,,,,,QB,Brandon Allen (13863956),Brandon Allen,13863956,QB,4200,LAC@DEN 12/01/2019 04:25PM ET,DEN,11.5
,,,,,,,,,,,,,,RB,Royce Freeman (13864049),Royce Freeman,13864049,RB/FLEX,4200,LAC@DEN 12/01/2019 04:25PM ET,DEN,9.54
,,,,,,,,,,,,,,QB,Tyrod Taylor (13863921),Tyrod Taylor,13863921,QB,4100,LAC@DEN 12/01/2019 04:25PM ET,LAC,0.04
,,,,,,,,,,,,,,QB,Brett Rypien (13864071),Brett Rypien,13864071,QB,4100,LAC@DEN 12/01/2019 04:25PM ET,DEN,0
,,,,,,,,,,,,,,QB,Chad Henne (13863914),Chad Henne,13863914,QB,4000,OAK@KC 12/01/2019 04:25PM ET,KC,0
,,,,,,,,,,,,,,QB,Easton Stick (13864044),Easton Stick,13864044,QB,4000,LAC@DEN 12/01/2019 04:25PM ET,LAC,0
,,,,,,,,,,,,,,WR,Josh Reynolds (13864032),Josh Reynolds,13864032,WR/FLEX,3800,LAR@ARI 12/01/2019 04:05PM ET,LAR,3.66
,,,,,,,,,,,,,,WR,Demarcus Robinson (13863997),Demarcus Robinson,13863997,WR/FLEX,3700,OAK@KC 12/01/2019 04:25PM ET,KC,7.81
,,,,,,,,,,,,,,TE,Noah Fant (13864083),Noah Fant,13864083,TE/FLEX,3700,LAC@DEN 12/01/2019 04:25PM ET,DEN,7.29
,,,,,,,,,,,,,,WR,Zay Jones (13864018),Zay Jones,13864018,WR/FLEX,3600,OAK@KC 12/01/2019 04:25PM ET,OAK,3.4
,,,,,,,,,,,,,,WR,Pharoh Cooper (13864012),Pharoh Cooper,13864012,WR/FLEX,3400,LAR@ARI 12/01/2019 04:05PM ET,ARI,4.74
,,,,,,,,,,,,,,WR,Byron Pringle (13864077),Byron Pringle,13864077,WR/FLEX,3300,OAK@KC 12/01/2019 04:25PM ET,KC,3.24
,,,,,,,,,,,,,,WR,Damiere Byrd (13863959),Damiere Byrd,13863959,WR/FLEX,3300,LAR@ARI 12/01/2019 04:05PM ET,ARI,5.8
,,,,,,,,,,,,,,WR,KeeSean Johnson (13864057),KeeSean Johnson,13864057,WR/FLEX,3300,LAR@ARI 12/01/2019 04:05PM ET,ARI,4.7
,,,,,,,,,,,,,,DST,Rams  (13863907),Rams ,13863907,DST,3200,LAR@ARI 12/01/2019 04:05PM ET,LAR,8.91
,,,,,,,,,,,,,,WR,Andy Isabella (13864072),Andy Isabella,13864072,WR/FLEX,3200,LAR@ARI 12/01/2019 04:05PM ET,ARI,3.26
,,,,,,,,,,,,,,WR,Gehrig Dieter (13863977),Gehrig Dieter,13863977,WR/FLEX,3100,OAK@KC 12/01/2019 04:25PM ET,KC,0
,,,,,,,,,,,,,,DST,Chargers  (13863909),Chargers ,13863909,DST,3100,LAC@DEN 12/01/2019 04:25PM ET,LAC,6.27
,,,,,,,,,,,,,,WR,Fred Brown (13863981),Fred Brown,13863981,WR/FLEX,3100,LAC@DEN 12/01/2019 04:25PM ET,DEN,0.51
,,,,,,,,,,,,,,WR,DaeSean Hamilton (13864024),DaeSean Hamilton,13864024,WR/FLEX,3100,LAC@DEN 12/01/2019 04:25PM ET,DEN,1.96
,,,,,,,,,,,,,,RB,Justin Jackson (13864042),Justin Jackson,13864042,RB/FLEX,3100,LAC@DEN 12/01/2019 04:25PM ET,LAC,5.98
,,,,,,,,,,,,,,RB,Anthony Sherman (13863924),Anthony Sherman,13863924,RB/FLEX,3000,OAK@KC 12/01/2019 04:25PM ET,KC,0.31
,,,,,,,,,,,,,,RB,DeAndre Washington (13863961),DeAndre Washington,13863961,RB/FLEX,3000,OAK@KC 12/01/2019 04:25PM ET,OAK,4.4
,,,,,,,,,,,,,,RB,Isaiah Crowell (13863967),Isaiah Crowell,13863967,RB/FLEX,3000,OAK@KC 12/01/2019 04:25PM ET,OAK,0
,,,,,,,,,,,,,,WR,Trevor Davis (13863971),Trevor Davis,13863971,WR/FLEX,3000,OAK@KC 12/01/2019 04:25PM ET,OAK,3.14
,,,,,,,,,,,,,,WR,Jalin Marshall (13864000),Jalin Marshall,13864000,WR/FLEX,3000,OAK@KC 12/01/2019 04:25PM ET,OAK,0
,,,,,,,,,,,,,,WR,Marcell Ateman (13864014),Marcell Ateman,13864014,WR/FLEX,3000,OAK@KC 12/01/2019 04:25PM ET,OAK,1.5
,,,,,,,,,,,,,,WR,Keelan Doss (13864040),Keelan Doss,13864040,WR/FLEX,3000,OAK@KC 12/01/2019 04:25PM ET,OAK,2.78
,,,,,,,,,,,,,,RB,Alec Ingold (13864075),Alec Ingold,13864075,RB/FLEX,3000,OAK@KC 12/01/2019 04:25PM ET,OAK,0.84
,,,,,,,,,,,,,,RB,Darwin Thompson (13864087),Darwin Thompson,13864087,RB/FLEX,3000,OAK@KC 12/01/2019 04:25PM ET,KC,0.69
,,,,,,,,,,,,,,RB,Zach Zenner (13863945),Zach Zenner,13863945,RB/FLEX,3000,LAR@ARI 12/01/2019 04:05PM ET,ARI,0.92
,,,,,,,,,,,,,,WR,JoJo Natson (13863985),JoJo Natson,13863985,WR/FLEX,3000,LAR@ARI 12/01/2019 04:05PM ET,LAR,0
,,,,,,,,,,,,,,WR,Nsimba Webster (13864038),Nsimba Webster,13864038,WR/FLEX,3000,LAR@ARI 12/01/2019 04:05PM ET,LAR,0
,,,,,,,,,,,,,,WR,Mike Thomas (13864047),Mike Thomas,13864047,WR/FLEX,3000,LAR@ARI 12/01/2019 04:05PM ET,LAR,0.17
,,,,,,,,,,,,,,WR,Trent Sherfield (13864051),Trent Sherfield,13864051,WR/FLEX,3000,LAR@ARI 12/01/2019 04:05PM ET,ARI,1.09
,,,,,,,,,,,,,,DST,Broncos  (13863904),Broncos ,13863904,DST,3000,LAC@DEN 12/01/2019 04:25PM ET,DEN,5.91
,,,,,,,,,,,,,,WR,Geremy Davis (13863940),Geremy Davis,13863940,WR/FLEX,3000,LAC@DEN 12/01/2019 04:25PM ET,LAC,0.97
,,,,,,,,,,,,,,WR,Diontae Spencer (13863943),Diontae Spencer,13863943,WR/FLEX,3000,LAC@DEN 12/01/2019 04:25PM ET,DEN,0.86
,,,,,,,,,,,,,,RB,Derek Watt (13863965),Derek Watt,13863965,RB/FLEX,3000,LAC@DEN 12/01/2019 04:25PM ET,LAC,0.62
,,,,,,,,,,,,,,RB,Troymaine Pope (13863995),Troymaine Pope,13863995,RB/FLEX,3000,LAC@DEN 12/01/2019 04:25PM ET,LAC,1.27
,,,,,,,,,,,,,,RB,Devontae Booker (13864002),Devontae Booker,13864002,RB/FLEX,3000,LAC@DEN 12/01/2019 04:25PM ET,DEN,0.26
,,,,,,,,,,,,,,WR,Andre Patton (13864016),Andre Patton,13864016,WR/FLEX,3000,LAC@DEN 12/01/2019 04:25PM ET,LAC,0.52
,,,,,,,,,,,,,,WR,Juwann Winfree (13864053),Juwann Winfree,13864053,WR/FLEX,3000,LAC@DEN 12/01/2019 04:25PM ET,DEN,0
,,,,,,,,,,,,,,WR,Tim Patrick (13864055),Tim Patrick,13864055,WR/FLEX,3000,LAC@DEN 12/01/2019 04:25PM ET,DEN,4.33
,,,,,,,,,,,,,,WR,Jason Moore (13864089),Jason Moore,13864089,WR/FLEX,3000,LAC@DEN 12/01/2019 04:25PM ET,LAC,1.05
,,,,,,,,,,,,,,DST,Chiefs  (13863905),Chiefs ,13863905,DST,2700,OAK@KC 12/01/2019 04:25PM ET,KC,7.64
,,,,,,,,,,,,,,TE,Blake Bell (13863932),Blake Bell,13863932,TE/FLEX,2600,OAK@KC 12/01/2019 04:25PM ET,KC,0.4
,,,,,,,,,,,,,,TE,Charles Clay (13863922),Charles Clay,13863922,TE/FLEX,2600,LAR@ARI 12/01/2019 04:05PM ET,ARI,2.72
,,,,,,,,,,,,,,TE,Maxx Williams (13863975),Maxx Williams,13863975,TE/FLEX,2600,LAR@ARI 12/01/2019 04:05PM ET,ARI,2.81
,,,,,,,,,,,,,,TE,James Winchester (13863929),James Winchester,13863929,TE/FLEX,2500,OAK@KC 12/01/2019 04:25PM ET,KC,0
,,,,,,,,,,,,,,TE,Derek Carrier (13863979),Derek Carrier,13863979,TE/FLEX,2500,OAK@KC 12/01/2019 04:25PM ET,OAK,1.58
,,,,,,,,,,,,,,TE,Deon Yelder (13864026),Deon Yelder,13864026,TE/FLEX,2500,OAK@KC 12/01/2019 04:25PM ET,KC,0.89
,,,,,,,,,,,,,,TE,Foster Moreau (13864067),Foster Moreau,13864067,TE/FLEX,2500,OAK@KC 12/01/2019 04:25PM ET,OAK,5.04
,,,,,,,,,,,,,,TE,Tyler Higbee (13863954),Tyler Higbee,13863954,TE/FLEX,2500,LAR@ARI 12/01/2019 04:05PM ET,LAR,5.32
,,,,,,,,,,,,,,TE,Johnny Mundt (13864006),Johnny Mundt,13864006,TE/FLEX,2500,LAR@ARI 12/01/2019 04:05PM ET,LAR,0.24
,,,,,,,,,,,,,,TE,Darrell Daniels (13864022),Darrell Daniels,13864022,TE/FLEX,2500,LAR@ARI 12/01/2019 04:05PM ET,ARI,0.18
,,,,,,,,,,,,,,TE,Virgil Green (13863915),Virgil Green,13863915,TE/FLEX,2500,LAC@DEN 12/01/2019 04:25PM ET,LAC,1.3
,,,,,,,,,,,,,,TE,Lance Kendricks (13863917),Lance Kendricks,13863917,TE/FLEX,2500,LAC@DEN 12/01/2019 04:25PM ET,LAC,1.14
,,,,,,,,,,,,,,TE,Jeff Heuerman (13863948),Jeff Heuerman,13863948,TE/FLEX,2500,LAC@DEN 12/01/2019 04:25PM ET,DEN,1.76
,,,,,,,,,,,,,,TE,Troy Fumagalli (13864008),Troy Fumagalli,13864008,TE/FLEX,2500,LAC@DEN 12/01/2019 04:25PM ET,DEN,1.82
,,,,,,,,,,,,,,TE,Andrew Beck (13864036),Andrew Beck,13864036,TE/FLEX,2500,LAC@DEN 12/01/2019 04:25PM ET,DEN,0.44
,,,,,,,,,,,,,,DST,Cardinals  (13863908),Cardinals ,13863908,DST,2300,LAR@ARI 12/01/2019 04:05PM ET,ARI,4
,,,,,,,,,,,,,,DST,Raiders  (13863906),Raiders ,13863906,DST,1700,OAK@KC 12/01/2019 04:25PM ET,OAK,5.64
