Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
D,Ben Gleason (13628357),Ben Gleason,13628357,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
D,Gavin Bayreuther (13628363),Gavin Bayreuther,13628363,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
C,Justin Kloos (13628365),Justin Kloos,13628365,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
LW,Jason Robertson (13628385),Jason Robertson,13628385,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
LW,Max Comtois (13628389),Max Comtois,13628389,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,1.9,0
C,Antoine Morand (13628391),Antoine Morand,13628391,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
RW,Kiefer Sherwood (13628400),Kiefer Sherwood,13628400,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
C,Joel L'Esperance (13628408),Joel L'Esperance,13628408,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,4.27,0
C,Ty Dellandrea (13628415),Ty Dellandrea,13628415,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
C,Isac Lundestrom (13628421),Isac Lundestrom,13628421,C/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,1.93,0
D,Thomas Harley (13628433),Thomas Harley,13628433,D/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
LW,Brayden Tracey (13628439),Brayden Tracey,13628439,W/UTIL,2500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
