Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
D,Taylor Fedun (13628068),Taylor Fedun,13628068,D/UTIL,2900,ANH@DAL 10/24/2019 08:30PM ET,DAL,5.31,0
LW,Mattias Janmark (13628201),Mattias Janmark,13628201,W/UTIL,2900,ANH@DAL 10/24/2019 08:30PM ET,DAL,5.14,0
D,Brendan Guhle (13628283),Brendan Guhle,13628283,D/UTIL,2900,ANH@DAL 10/24/2019 08:30PM ET,ANH,7.78,0
D,Robert Bortuzzo (13627997),Robert Bortuzzo,13627997,D/UTIL,2800,LA@STL 10/24/2019 08:00PM ET,STL,3.45,0
RW,Oskar Sundqvist (13628156),Oskar Sundqvist,13628156,W/UTIL,2800,LA@STL 10/24/2019 08:00PM ET,STL,4.96,0
D,Ben Hutton (13628164),Ben Hutton,13628164,D/UTIL,2800,LA@STL 10/24/2019 08:00PM ET,LA,6.16,0
C,Blake Lizotte (13628427),Blake Lizotte,13628427,C/UTIL,2800,LA@STL 10/24/2019 08:00PM ET,LA,3.33,0
RW,Craig Smith (13628092),Craig Smith,13628092,W/UTIL,2800,MIN@NSH 10/24/2019 08:00PM ET,NSH,3.82,0
LW,Drake Caggiula (13628316),Drake Caggiula,13628316,W/UTIL,2800,PHI@CHI 10/24/2019 08:30PM ET,CHI,4.67,0
D,Michael Del Zotto (13627975),Michael Del Zotto,13627975,D/UTIL,2800,ANH@DAL 10/24/2019 08:30PM ET,ANH,4.11,0
RW,Troy Terry (13628301),Troy Terry,13628301,W/UTIL,2800,ANH@DAL 10/24/2019 08:30PM ET,ANH,3.4,0
D,Jay Bouwmeester (13627893),Jay Bouwmeester,13627893,D/UTIL,2700,LA@STL 10/24/2019 08:00PM ET,STL,4.42,0
RW,Trevor Lewis (13627947),Trevor Lewis,13627947,W/UTIL,2700,LA@STL 10/24/2019 08:00PM ET,LA,4.12,0
D,Matt Roy (13628305),Matt Roy,13628305,D/UTIL,2700,LA@STL 10/24/2019 08:00PM ET,LA,5.14,0
RW,Robert Thomas (13628379),Robert Thomas,13628379,W/UTIL,2700,LA@STL 10/24/2019 08:00PM ET,STL,2.25,0
RW,Austin Watson (13628042),Austin Watson,13628042,W/UTIL,2700,MIN@NSH 10/24/2019 08:00PM ET,NSH,5.4,0
D,Jonas Brodin (13628084),Jonas Brodin,13628084,D/UTIL,2700,MIN@NSH 10/24/2019 08:00PM ET,MIN,5.37,0
C,Joel Eriksson Ek (13628271),Joel Eriksson Ek,13628271,C/UTIL,2700,MIN@NSH 10/24/2019 08:00PM ET,MIN,5.73,0
RW,Gerald Mayhew (13628371),Gerald Mayhew,13628371,W/UTIL,2700,MIN@NSH 10/24/2019 08:00PM ET,MIN,5.12,0
D,Justin Braun (13628012),Justin Braun,13628012,D/UTIL,2700,PHI@CHI 10/24/2019 08:30PM ET,PHI,4.23,0
RW,Brendan Perlini (13628221),Brendan Perlini,13628221,W/UTIL,2700,PHI@CHI 10/24/2019 08:30PM ET,CHI,1.5,0
D,Korbinian Holzer (13628021),Korbinian Holzer,13628021,D/UTIL,2700,ANH@DAL 10/24/2019 08:30PM ET,ANH,5.04,0
C,Derek Grant (13628070),Derek Grant,13628070,C/UTIL,2700,ANH@DAL 10/24/2019 08:30PM ET,ANH,4.53,0
C,Sam Steel (13628328),Sam Steel,13628328,C/UTIL,2700,ANH@DAL 10/24/2019 08:30PM ET,ANH,3.13,0
LW,Kyle Clifford (13628000),Kyle Clifford,13628000,W/UTIL,2600,LA@STL 10/24/2019 08:00PM ET,LA,6.07,0
D,Kurtis MacDermid (13628174),Kurtis MacDermid,13628174,D/UTIL,2600,LA@STL 10/24/2019 08:00PM ET,LA,6.2,0
LW,Marcus Foligno (13628002),Marcus Foligno,13628002,W/UTIL,2600,MIN@NSH 10/24/2019 08:00PM ET,MIN,5.83,0
LW,Rocco Grimaldi (13628094),Rocco Grimaldi,13628094,W/UTIL,2600,MIN@NSH 10/24/2019 08:00PM ET,NSH,6.33,0
D,Olli Maatta (13628142),Olli Maatta,13628142,D/UTIL,2600,PHI@CHI 10/24/2019 08:30PM ET,CHI,3.83,0
LW,Devin Shore (13628148),Devin Shore,13628148,W/UTIL,2600,ANH@DAL 10/24/2019 08:30PM ET,ANH,3.89,0
C,Mario Kempe (13627985),Mario Kempe,13627985,C/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
D,Carl Gunnarsson (13627987),Carl Gunnarsson,13627987,D/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,4.4,0
LW,Jordan Nolan (13628025),Jordan Nolan,13628025,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,0,0
D,Derek Forbort (13628038),Derek Forbort,13628038,D/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
D,Derrick Pouliot (13628132),Derrick Pouliot,13628132,D/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,0,0
RW,Martin Frk (13628144),Martin Frk,13628144,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
LW,MacKenzie MacEachern (13628150),MacKenzie MacEachern,13628150,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,1.3,0
LW,Nikolai Prokhorkin (13628162),Nikolai Prokhorkin,13628162,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
D,Jake Dotchin (13628166),Jake Dotchin,13628166,D/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,0,0
D,Petteri Lindbohm (13628168),Petteri Lindbohm,13628168,D/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,0,0
D,Paul LaDue (13628170),Paul LaDue,13628170,D/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
D,Joakim Ryan (13628172),Joakim Ryan,13628172,D/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,4.38,0
LW,Zach Sanford (13628199),Zach Sanford,13628199,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,1.02,0
LW,Robby Fabbri (13628227),Robby Fabbri,13628227,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,2.54,0
C,Ivan Barbashev (13628233),Ivan Barbashev,13628233,C/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,4.08,0
RW,Austin Wagner (13628291),Austin Wagner,13628291,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,5,0
LW,Bokondji Imama (13628303),Bokondji Imama,13628303,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
RW,Nick Lappin (13628312),Nick Lappin,13628312,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,0,0
RW,Jordan Kyrou (13628330),Jordan Kyrou,13628330,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,0,0
D,Kale Clague (13628335),Kale Clague,13628335,D/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
LW,Carl Grundstrom (13628337),Carl Grundstrom,13628337,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,8,0
C,Klim Kostin (13628355),Klim Kostin,13628355,C/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,0,0
RW,Matt Luff (13628359),Matt Luff,13628359,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
C,Mike Vecchione (13628367),Mike Vecchione,13628367,C/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,0,0
C,Jaret Anderson-Dolan (13628387),Jaret Anderson-Dolan,13628387,C/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
D,Mitch Reinke (13628402),Mitch Reinke,13628402,D/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,STL,0,0
D,Daniel Brickley (13628404),Daniel Brickley,13628404,D/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
RW,Sheldon Rempal (13628406),Sheldon Rempal,13628406,W/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
C,Rasmus Kupari (13628419),Rasmus Kupari,13628419,C/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
D,Tobias Bjornfot (13628435),Tobias Bjornfot,13628435,D/UTIL,2500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
D,Dan Hamhuis (13627900),Dan Hamhuis,13627900,D/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,NSH,1.79,0
D,Yannick Weber (13627979),Yannick Weber,13627979,D/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,NSH,2.03,0
D,Matt Irwin (13628010),Matt Irwin,13628010,D/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,NSH,1.95,0
D,Matt Bartkowski (13628014),Matt Bartkowski,13628014,D/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,MIN,0,0
C,Gabriel Dumont (13628016),Gabriel Dumont,13628016,C/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,MIN,2.15,0
D,Matt Donovan (13628072),Matt Donovan,13628072,D/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,NSH,0,0
C,Victor Rask (13628097),Victor Rask,13628097,C/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,MIN,5.93,0
LW,Miikka Salomaki (13628101),Miikka Salomaki,13628101,W/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,NSH,1.3,0
C,Kyle Rau (13628108),Kyle Rau,13628108,C/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,MIN,0,0
D,Nick Seeler (13628112),Nick Seeler,13628112,D/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,MIN,2.7,0
C,Colin Blackwell (13628118),Colin Blackwell,13628118,C/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,NSH,0,0
D,Greg Pateryn (13628120),Greg Pateryn,13628120,D/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,MIN,0,0
RW,J.T. Brown (13628124),J.T. Brown,13628124,W/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,MIN,0,0
RW,Ryan Hartman (13628185),Ryan Hartman,13628185,W/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,MIN,3.52,0
C,Laurent Dauphin (13628189),Laurent Dauphin,13628189,C/UTIL,2500,MIN@NSH 10/24/2019 08:00PM ET,NSH,0,0
