Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1813,1586205069,djtrikee (3/3),0,285.55,P Rafael Nadal P Gael Monfils P Andrey Rublev P Diego Sebastian Schwartzman P Julia Goerges P Kristie Haerim Ahn,,,,,
1833,1586086519,ARaven52,0,285.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Julia Goerges P Marin Cilic,,,,,
1833,1586206459,csuwans88,0,285.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Julia Goerges P Marin Cilic,,,,,
1835,1586014234,RetroFury (7/14),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586017619,BillKiely (1/3),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586024183,BillKiely (2/3),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586048634,10mike,0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586069507,Crunchingnumbers,0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586073551,Skipbidder (26/94),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586077526,viditm (10/10),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586077688,dshocker42 (4/21),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586078431,bektennis17 (2/3),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586079092,AcesEdy (1/20),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586079743,Cannn (14/47),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586080178,pianoclub (94/94),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586083747,Jordan710,0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586109501,utcal98,0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586129619,flyerstakedown716 (1/2),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586132902,grangg,0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586134082,peterbelitz (1/2),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586145599,Marotin (5/5),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586153440,tjd30 (3/15),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586154752,matrix1976 (2/4),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586171015,Slobs65 (3/4),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586175871,Schkeen,0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586178525,casale13,0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586180843,meddy1523 (7/9),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586192220,bric75 (70/94),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586201182,RodgersTheGOAT (2/2),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1835,1586201416,gje627 (4/4),0,285.4,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1862,1586125588,msg365 (78/94),0,284.6,P Rafael Nadal P Andrey Rublev P Donna Vekic P Diego Sebastian Schwartzman P Belinda Bencic P Kristie Haerim Ahn,,,,,
1863,1586016845,KeithEric1010,0,284.4,P Rafael Nadal P Gael Monfils P Naomi Osaka P Andrey Rublev P Diego Sebastian Schwartzman P Marin Cilic,,,,,
1864,1586022344,Rootyjaxx00 (2/3),0,284.35,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Diego Sebastian Schwartzman P Belinda Bencic P Pablo Andujar,,,,,
1865,1586210970,dshocker42 (19/21),0,284.05,P Gael Monfils P Elise Mertens P Belinda Bencic P Kristie Haerim Ahn P Taylor Townsend P Marin Cilic,,,,,
1866,1586020110,callmetouch (1/2),0,283.35,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Kristie Haerim Ahn,,,,,
1867,1586081314,nammyoho,0,282.45,P Gael Monfils P Bianca Vanessa Andreescu P Naomi Osaka P Donna Vekic P Julia Goerges P Kristie Haerim Ahn,,,,,
1868,1586161986,GTR0814,0,282.4,P Gael Monfils P Elise Mertens P Andrey Rublev P Donna Vekic P Alexander Zverev P Marin Cilic,,,,,
1869,1586008003,RetroFury (1/14),0,282.3,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Diego Sebastian Schwartzman P Pablo Andujar,,,,,
1869,1586046530,tomah1 (4/6),0,282.3,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Diego Sebastian Schwartzman P Pablo Andujar,,,,,
1869,1586075055,SILVAJ (8/14),0,282.3,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Diego Sebastian Schwartzman P Pablo Andujar,,,,,
1869,1586084675,lukegattis (8/10),0,282.3,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Diego Sebastian Schwartzman P Pablo Andujar,,,,,
1869,1586110012,dictator_teddy (20/94),0,282.3,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Diego Sebastian Schwartzman P Pablo Andujar,,,,,
1869,1586118965,p67stang (2/2),0,282.3,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Diego Sebastian Schwartzman P Pablo Andujar,,,,,
1869,1586119491,FULHAMERICA_FC (3/9),0,282.3,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Diego Sebastian Schwartzman P Pablo Andujar,,,,,
1869,1586133648,FULHAMERICA_FC (8/9),0,282.3,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Diego Sebastian Schwartzman P Pablo Andujar,,,,,
1869,1586190720,HugeMode (6/6),0,282.3,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Diego Sebastian Schwartzman P Pablo Andujar,,,,,
1878,1586129863,dominicaninja (23/41),0,281.9,P Gael Monfils P Naomi Osaka P Diego Sebastian Schwartzman P Matteo Berrettini P Kristie Haerim Ahn P Marin Cilic,,,,,
1879,1585980758,yollb77,0,281.8,P Rafael Nadal P Gael Monfils P Andrey Rublev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1879,1586067677,allshallperish08 (1/5),0,281.8,P Rafael Nadal P Gael Monfils P Andrey Rublev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1879,1586125585,msg365 (75/94),0,281.8,P Rafael Nadal P Gael Monfils P Andrey Rublev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1879,1586138066,Ikeluva721,0,281.8,P Rafael Nadal P Gael Monfils P Andrey Rublev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1879,1586149379,skleni,0,281.8,P Rafael Nadal P Gael Monfils P Andrey Rublev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1879,1586167631,JDan007 (1/3),0,281.8,P Rafael Nadal P Gael Monfils P Andrey Rublev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1879,1586190657,BadgerU,0,281.8,P Rafael Nadal P Gael Monfils P Andrey Rublev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1886,1585883460,steveparbs (1/3),0,281.6,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Belinda Bencic P Kristie Haerim Ahn,,,,,
1886,1585919364,balsbc120815,0,281.6,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Belinda Bencic P Kristie Haerim Ahn,,,,,
1886,1586018315,peterhaggar1 (1/3),0,281.6,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Belinda Bencic P Kristie Haerim Ahn,,,,,
1886,1586030409,JCrit23,0,281.6,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Belinda Bencic P Kristie Haerim Ahn,,,,,
1886,1586039719,tomah1 (1/6),0,281.6,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Belinda Bencic P Kristie Haerim Ahn,,,,,
1886,1586079580,Cannn (7/47),0,281.6,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Belinda Bencic P Kristie Haerim Ahn,,,,,
1886,1586110014,dictator_teddy (22/94),0,281.6,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Belinda Bencic P Kristie Haerim Ahn,,,,,
1886,1586125544,msg365 (34/94),0,281.6,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Belinda Bencic P Kristie Haerim Ahn,,,,,
1886,1586137496,yayo1986 (12/16),0,281.6,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Belinda Bencic P Kristie Haerim Ahn,,,,,
1886,1586140223,BroncoMurph (2/2),0,281.6,P Rafael Nadal P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Belinda Bencic P Kristie Haerim Ahn,,,,,
1896,1586129843,dominicaninja (3/41),0,281.35,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Matteo Berrettini P Kristie Haerim Ahn P Pablo Andujar,,,,,
1897,1586132310,msg365 (94/94),0,281,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Diego Sebastian Schwartzman P Julia Goerges P Kristie Haerim Ahn,,,,,
1898,1586195355,bowensml22 (9/9),0,280.75,P Elise Mertens P Naomi Osaka P Donna Vekic P Alexander Zverev P Matteo Berrettini P Taylor Townsend,,,,,
1899,1586158508,Tippy93,0,280.65,P Rafael Nadal P Gael Monfils P Andrey Rublev P Alexander Zverev P Diego Sebastian Schwartzman P Taylor Townsend,,,,,
1900,1585979654,luadedes (2/5),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1585996811,santorum (3/13),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586022210,RetroFury (13/14),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586025893,timurwin (5/12),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586059275,brycerucks (1/3),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586072227,JubPapa (6/20),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586073559,Skipbidder (34/94),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586075296,legend58 (2/4),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586080167,pianoclub (83/94),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586086523,calapoint (1/3),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586086819,Cannn (29/47),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586088546,rgarlapa (5/8),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586096803,DaPantsKraken (2/4),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586104653,dc.will (3/9),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586105088,tmason16 (5/6),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586110042,dictator_teddy (50/94),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586125595,msg365 (85/94),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586143782,Clangers (10/10),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586152286,tonyharrison,0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586165288,kingnascar1 (3/3),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586178228,Microchaotic (1/5),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1900,1586192166,bric75 (16/94),0,280.5,P Rafael Nadal P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1922,1585882229,vtraven21,0,280.3,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Pablo Andujar,,,,,
1922,1586084507,Ramboh (93/94),0,280.3,P Rafael Nadal P Elise Mertens P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Pablo Andujar,,,,,
1922,1586151571,micangl67 (4/8),0,280.3,P Rafael Nadal P Naomi Osaka P Donna Vekic P Alexander Zverev P Julia Goerges P Matteo Berrettini,,,,,
1925,1586129617,msg365 (89/94),0,280.25,P Gael Monfils P Andrey Rublev P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1925,1586132217,msg365 (93/94),0,280.25,P Gael Monfils P Andrey Rublev P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1927,1586197366,Adeepthret (3/4),0,280.05,P Bianca Vanessa Andreescu P Andrey Rublev P Donna Vekic P Diego Sebastian Schwartzman P Belinda Bencic P Kristie Haerim Ahn,,,,,
1928,1586079924,kneeplay (6/10),0,279.95,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Taylor Townsend P Pablo Andujar,,,,,
1929,1586073573,Skipbidder (48/94),0,279.85,P Gael Monfils P Bianca Vanessa Andreescu P Naomi Osaka P Andrey Rublev P Diego Sebastian Schwartzman P Marin Cilic,,,,,
1929,1586192233,bric75 (83/94),0,279.85,P Gael Monfils P Bianca Vanessa Andreescu P Naomi Osaka P Andrey Rublev P Diego Sebastian Schwartzman P Marin Cilic,,,,,
1931,1585974621,bettissimo (2/16),0,279.7,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Diego Sebastian Schwartzman P Julia Goerges,,,,,
1931,1586079784,Cannn (17/47),0,279.7,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Diego Sebastian Schwartzman P Julia Goerges,,,,,
1931,1586173387,Tmack2008 (3/3),0,279.7,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Diego Sebastian Schwartzman P Julia Goerges,,,,,
1931,1586183330,cptscuzzo (4/4),0,279.7,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Diego Sebastian Schwartzman P Julia Goerges,,,,,
1935,1586072914,jetsfan196 (2/2),0,279.35,P Rafael Nadal P Gael Monfils P Alexander Zverev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1935,1586125581,msg365 (71/94),0,279.35,P Rafael Nadal P Gael Monfils P Alexander Zverev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1935,1586144418,joeycrackjr,0,279.35,P Rafael Nadal P Gael Monfils P Alexander Zverev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1938,1585894564,wdbrmikee,0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1585935878,alabanker61 (1/2),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1585940118,fowler57,0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586022847,teacher100k,0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586039517,SteelcityVA (2/3),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586056268,dellyk1ng26,0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586073540,Skipbidder (15/94),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586077624,Ramboh (35/94),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586080137,pianoclub (53/94),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586080509,erg15413,0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586093827,68acsauh (1/3),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586097285,MentallyUnavailable (1/2),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586118275,dkw793 (27/30),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586122632,switchhittur (6/14),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586125526,msg365 (16/94),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586133558,smh6349,0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586150705,micangl67 (2/8),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586155575,iceman280,0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586184741,Drago3375 (1/2),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586192182,bric75 (32/94),0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1938,1586192533,kassdog,0,279.2,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1959,1586110077,dictator_teddy (85/94),0,279.15,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Belinda Bencic P Kristie Haerim Ahn,,,,,
1959,1586125532,msg365 (22/94),0,279.15,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Belinda Bencic P Kristie Haerim Ahn,,,,,
1959,1586125813,narayguy (3/3),0,279.15,P Rafael Nadal P Bianca Vanessa Andreescu P Donna Vekic P Alexander Zverev P Belinda Bencic P Kristie Haerim Ahn,,,,,
1962,1586125148,Marotin (3/5),0,278.9,P Gael Monfils P Bianca Vanessa Andreescu P Naomi Osaka P Matteo Berrettini P Kristie Haerim Ahn P Marin Cilic,,,,,
1963,1585922640,ragu24,0,277.95,P Rafael Nadal P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1963,1586125576,msg365 (66/94),0,277.95,P Rafael Nadal P Naomi Osaka P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1965,1586080127,pianoclub (43/94),0,277.6,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Marin Cilic,,,,,
1965,1586157072,allshallperish08 (4/5),0,277.6,P Bianca Vanessa Andreescu P Elise Mertens P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Marin Cilic,,,,,
1967,1586191884,egriffith80 (14/17),0,277.55,P Rafael Nadal P Elise Mertens P Naomi Osaka P Donna Vekic P Julia Goerges P Kristie Haerim Ahn,,,,,
1968,1586070592,allshallperish08 (2/5),0,277.25,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1968,1586093817,bmarcu (2/3),0,277.25,P Gael Monfils P Bianca Vanessa Andreescu P Andrey Rublev P Julia Goerges P Belinda Bencic P Kristie Haerim Ahn,,,,,
1970,1586180541,Jaclon80 (5/5),0,276.9,P Rafael Nadal P Elise Mertens P Naomi Osaka P Matteo Berrettini P Taylor Townsend P Pablo Andujar,,,,,
1970,1586073605,Skipbidder (80/94),0,276.9,P Rafael Nadal P Gael Monfils P Andrey Rublev P Alexander Zverev P Belinda Bencic P Taylor Townsend,,,,,
1970,1586076676,thatch179,0,276.9,P Rafael Nadal P Gael Monfils P Andrey Rublev P Alexander Zverev P Belinda Bencic P Taylor Townsend,,,,,
1973,1586204872,teemann1414,0,276.15,P Rafael Nadal P Gael Monfils P Naomi Osaka P Alexander Zverev P Matteo Berrettini P Pablo Andujar,,,,,
1973,1586119415,timmythehead,0,276.15,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Alexander Zverev P Marin Cilic,,,,,
1973,1586203514,lifeandtimesjl (2/2),0,276.15,P Rafael Nadal P Gael Monfils P Naomi Osaka P Donna Vekic P Alexander Zverev P Marin Cilic,,,,,
1976,1585915523,Fantasy.Soto (3/22),0,275.95,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1976,1586072866,timurwin (12/12),0,275.95,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1976,1586073588,Skipbidder (63/94),0,275.95,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1976,1586080159,pianoclub (75/94),0,275.95,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1976,1586110043,dictator_teddy (51/94),0,275.95,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1976,1586117546,AcesEdy (18/20),0,275.95,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1976,1586132120,russelld07 (3/5),0,275.95,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1976,1586156820,chumpchangeman (9/20),0,275.95,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1976,1586186651,a12beaton,0,275.95,P Bianca Vanessa Andreescu P Elise Mertens P Andrey Rublev P Alexander Zverev P Julia Goerges P Belinda Bencic,,,,,
1985,1585950277,Kurt8520,0,274.95,P Rafael Nadal P Bianca Vanessa Andreescu P Naomi Osaka P Julia Goerges P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1985,1586009128,pogo5040229 (1/5),0,274.95,P Rafael Nadal P Bianca Vanessa Andreescu P Naomi Osaka P Julia Goerges P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1985,1586113400,katty.kang (3/15),0,274.95,P Rafael Nadal P Bianca Vanessa Andreescu P Naomi Osaka P Julia Goerges P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1985,1586114244,Scotty_A_J,0,274.95,P Rafael Nadal P Bianca Vanessa Andreescu P Naomi Osaka P Julia Goerges P Matteo Berrettini P Kristie Haerim Ahn,,,,,
1985,1586124579,yayo1986 (7/16),0,274.95,P Rafael Nadal P Bianca Vanessa Andreescu P Naomi Osaka P Julia Goerges P Matteo Berrettini P Kristie Haerim Ahn,,,,,
