Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,,,,,C,Mathew Barzal (13686912),Mathew Barzal,13686912,C/UTIL,6700,NYI@BUF 11/02/2019 07:00PM ET,NYI,12.15
,,,,,,,,,,,,,,LW,Max Pacioretty (13687284),Max Pacioretty,13687284,W/UTIL,6700,WPG@VGK 11/02/2019 10:00PM ET,VGK,12.71
,,,,,,,,,,,,,,G,Laurent Brossoit (13688515),Laurent Brossoit,13688515,G,6700,WPG@VGK 11/02/2019 10:00PM ET,WPG,4.35
,,,,,,,,,,,,,,LW,Evander Kane (13687286),Evander Kane,13687286,W/UTIL,6700,VAN@SJ 11/02/2019 10:00PM ET,SJ,16.16
,,,,,,,,,,,,,,D,Brent Burns (13687928),Brent Burns,13687928,D/UTIL,6700,VAN@SJ 11/02/2019 10:00PM ET,SJ,11.81
,,,,,,,,,,,,,,G,Anders Nilsson (13688516),Anders Nilsson,13688516,G,6600,OTT@BOS 11/02/2019 07:00PM ET,OTT,16.1
,,,,,,,,,,,,,,C,Dylan Larkin (13686914),Dylan Larkin,13686914,C/UTIL,6600,DET@FLA 11/02/2019 07:00PM ET,DET,11.79
,,,,,,,,,,,,,,RW,Evgenii Dadonov (13687288),Evgenii Dadonov,13687288,W/UTIL,6600,DET@FLA 11/02/2019 07:00PM ET,FLA,10.73
,,,,,,,,,,,,,,D,Dougie Hamilton (13687930),Dougie Hamilton,13687930,D/UTIL,6600,NJ@CAR 11/02/2019 07:00PM ET,CAR,15.72
,,,,,,,,,,,,,,G,Maxime Lagace (13688525),Maxime Lagace,13688525,G,6500,OTT@BOS 11/02/2019 07:00PM ET,BOS,0
,,,,,,,,,,,,,,G,Dan Vladar (13688526),Dan Vladar,13688526,G,6500,OTT@BOS 11/02/2019 07:00PM ET,BOS,0
,,,,,,,,,,,,,,G,Marcus Hogberg (13688548),Marcus Hogberg,13688548,G,6500,OTT@BOS 11/02/2019 07:00PM ET,OTT,0
,,,,,,,,,,,,,,G,Filip Gustavsson (13688549),Filip Gustavsson,13688549,G,6500,OTT@BOS 11/02/2019 07:00PM ET,OTT,0
,,,,,,,,,,,,,,G,Christopher Gibson (13688541),Christopher Gibson,13688541,G,6500,NYI@BUF 11/02/2019 07:00PM ET,NYI,0
,,,,,,,,,,,,,,G,Jonas Johansson (13688546),Jonas Johansson,13688546,G,6500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,G,Andrew Hammond (13688547),Andrew Hammond,13688547,G,6500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,G,Chris Driedger (13688545),Chris Driedger,13688545,G,6500,DET@FLA 11/02/2019 07:00PM ET,FLA,0
,,,,,,,,,,,,,,G,Alex Lyon (13688533),Alex Lyon,13688533,G,6500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
,,,,,,,,,,,,,,G,J-F Berube (13688534),J-F Berube,13688534,G,6500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
,,,,,,,,,,,,,,G,Kasimir Kaskisuo (13688544),Kasimir Kaskisuo,13688544,G,6500,TOR@PHI 11/02/2019 07:00PM ET,TOR,0
,,,,,,,,,,,,,,G,Evan Cormier (13688531),Evan Cormier,13688531,G,6500,NJ@CAR 11/02/2019 07:00PM ET,NJ,0
,,,,,,,,,,,,,,G,Alex Nedeljkovic (13688537),Alex Nedeljkovic,13688537,G,6500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
,,,,,,,,,,,,,,G,Callum Booth (13688538),Callum Booth,13688538,G,6500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
,,,,,,,,,,,,,,G,Jeremy Helvig (13688539),Jeremy Helvig,13688539,G,6500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
,,,,,,,,,,,,,,G,Anton Forsberg (13688540),Anton Forsberg,13688540,G,6500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
,,,,,,,,,,,,,,G,Veini Vehvilainen (13688522),Veini Vehvilainen,13688522,G,6500,CGY@CLS 11/02/2019 07:00PM ET,CLS,0
,,,,,,,,,,,,,,G,Matiss Kivlenieks (13688523),Matiss Kivlenieks,13688523,G,6500,CGY@CLS 11/02/2019 07:00PM ET,CLS,0
,,,,,,,,,,,,,,G,Jon Gillies (13688532),Jon Gillies,13688532,G,6500,CGY@CLS 11/02/2019 07:00PM ET,CGY,0
,,,,,,,,,,,,,,G,Charlie Lindgren (13688527),Charlie Lindgren,13688527,G,6500,MON@DAL 11/02/2019 07:00PM ET,MON,0
,,,,,,,,,,,,,,G,Landon Bow (13688550),Landon Bow,13688550,G,6500,MON@DAL 11/02/2019 07:00PM ET,DAL,0
,,,,,,,,,,,,,,D,Alex Pietrangelo (13687932),Alex Pietrangelo,13687932,D/UTIL,6500,STL@MIN 11/02/2019 08:00PM ET,STL,11.73
,,,,,,,,,,,,,,G,Ville Husso (13688524),Ville Husso,13688524,G,6500,STL@MIN 11/02/2019 08:00PM ET,STL,0
,,,,,,,,,,,,,,G,Kaapo Kahkonen (13688551),Kaapo Kahkonen,13688551,G,6500,STL@MIN 11/02/2019 08:00PM ET,MIN,0
,,,,,,,,,,,,,,G,Eric Comrie (13688517),Eric Comrie,13688517,G,6500,COL@ARI 11/02/2019 09:00PM ET,ARI,0
,,,,,,,,,,,,,,G,Antoine Bibeau (13688518),Antoine Bibeau,13688518,G,6500,COL@ARI 11/02/2019 09:00PM ET,COL,0
,,,,,,,,,,,,,,G,Adam Werner (13688519),Adam Werner,13688519,G,6500,COL@ARI 11/02/2019 09:00PM ET,COL,0
,,,,,,,,,,,,,,G,Adin Hill (13688530),Adin Hill,13688530,G,6500,COL@ARI 11/02/2019 09:00PM ET,ARI,0
,,,,,,,,,,,,,,C,William Karlsson (13686916),William Karlsson,13686916,C/UTIL,6500,WPG@VGK 11/02/2019 10:00PM ET,VGK,10.46
,,,,,,,,,,,,,,LW,Nikolaj Ehlers (13687290),Nikolaj Ehlers,13687290,W/UTIL,6500,WPG@VGK 11/02/2019 10:00PM ET,WPG,13.26
,,,,,,,,,,,,,,G,Garret Sparks (13688535),Garret Sparks,13688535,G,6500,WPG@VGK 11/02/2019 10:00PM ET,VGK,1.4
,,,,,,,,,,,,,,G,Oscar Dansk (13688536),Oscar Dansk,13688536,G,6500,WPG@VGK 11/02/2019 10:00PM ET,VGK,0.7
,,,,,,,,,,,,,,G,Mikhail Berdin (13688542),Mikhail Berdin,13688542,G,6500,WPG@VGK 11/02/2019 10:00PM ET,WPG,0
,,,,,,,,,,,,,,G,Michael DiPietro (13688528),Michael DiPietro,13688528,G,6500,VAN@SJ 11/02/2019 10:00PM ET,VAN,0
,,,,,,,,,,,,,,G,Zane McIntyre (13688529),Zane McIntyre,13688529,G,6500,VAN@SJ 11/02/2019 10:00PM ET,VAN,0
,,,,,,,,,,,,,,G,Collin Delia (13688520),Collin Delia,13688520,G,6500,CHI@LA 11/02/2019 10:30PM ET,CHI,0
,,,,,,,,,,,,,,G,Kevin Lankinen (13688521),Kevin Lankinen,13688521,G,6500,CHI@LA 11/02/2019 10:30PM ET,CHI,0
,,,,,,,,,,,,,,G,Calvin Petersen (13688543),Calvin Petersen,13688543,G,6500,CHI@LA 11/02/2019 10:30PM ET,LA,0
,,,,,,,,,,,,,,C,Claude Giroux (13686918),Claude Giroux,13686918,C/UTIL,6400,TOR@PHI 11/02/2019 07:00PM ET,PHI,9.81
,,,,,,,,,,,,,,LW,James van Riemsdyk (13687292),James van Riemsdyk,13687292,W/UTIL,6400,TOR@PHI 11/02/2019 07:00PM ET,PHI,10.58
,,,,,,,,,,,,,,D,Mark Giordano (13687934),Mark Giordano,13687934,D/UTIL,6400,CGY@CLS 11/02/2019 07:00PM ET,CGY,11.97
,,,,,,,,,,,,,,RW,David Perron (13687294),David Perron,13687294,W/UTIL,6400,STL@MIN 11/02/2019 08:00PM ET,STL,11.27
,,,,,,,,,,,,,,LW,Jeff Skinner (13687298),Jeff Skinner,13687298,W/UTIL,6300,NYI@BUF 11/02/2019 07:00PM ET,BUF,12.87
,,,,,,,,,,,,,,RW,Anthony Mantha (13687296),Anthony Mantha,13687296,W/UTIL,6300,DET@FLA 11/02/2019 07:00PM ET,DET,15.63
,,,,,,,,,,,,,,D,Morgan Rielly (13687936),Morgan Rielly,13687936,D/UTIL,6300,TOR@PHI 11/02/2019 07:00PM ET,TOR,12.32
,,,,,,,,,,,,,,C,Brayden Schenn (13686920),Brayden Schenn,13686920,C/UTIL,6300,STL@MIN 11/02/2019 08:00PM ET,STL,11.19
,,,,,,,,,,,,,,D,Thomas Chabot (13687938),Thomas Chabot,13687938,D/UTIL,6200,OTT@BOS 11/02/2019 07:00PM ET,OTT,12.18
,,,,,,,,,,,,,,LW,Andrei Svechnikov (13687300),Andrei Svechnikov,13687300,W/UTIL,6200,NJ@CAR 11/02/2019 07:00PM ET,CAR,11.92
,,,,,,,,,,,,,,C,Max Domi (13686922),Max Domi,13686922,C/UTIL,6200,MON@DAL 11/02/2019 07:00PM ET,MON,10.22
,,,,,,,,,,,,,,RW,Vladimir Tarasenko (13687302),Vladimir Tarasenko,13687302,W/UTIL,6200,STL@MIN 11/02/2019 08:00PM ET,STL,11.76
