Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,,,,,D,John Carlson (13775820),John Carlson,13775820,D/UTIL,7800,WAS@BOS 11/16/2019 07:00PM ET,WAS,17.55
,,,,,,,,,,,,,,G,Tuukka Rask (13776275),Tuukka Rask,13776275,G,7800,WAS@BOS 11/16/2019 07:00PM ET,BOS,16.72
,,,,,,,,,,,,,,G,Jaroslav Halak (13776295),Jaroslav Halak,13776295,G,7800,WAS@BOS 11/16/2019 07:00PM ET,BOS,17.33
,,,,,,,,,,,,,,G,Jacob Markstrom (13776276),Jacob Markstrom,13776276,G,7800,COL@VAN 11/16/2019 10:00PM ET,VAN,13.52
,,,,,,,,,,,,,,G,Thatcher Demko (13776296),Thatcher Demko,13776296,G,7800,COL@VAN 11/16/2019 10:00PM ET,VAN,16.89
,,,,,,,,,,,,,,LW,Brad Marchand (13775254),Brad Marchand,13775254,W/UTIL,7700,WAS@BOS 11/16/2019 07:00PM ET,BOS,16.39
,,,,,,,,,,,,,,G,Braden Holtby (13776277),Braden Holtby,13776277,G,7700,WAS@BOS 11/16/2019 07:00PM ET,WAS,13.61
,,,,,,,,,,,,,,C,Jack Eichel (13774942),Jack Eichel,13774942,C/UTIL,7700,OTT@BUF 11/16/2019 07:00PM ET,BUF,14.44
,,,,,,,,,,,,,,G,Semyon Varlamov (13776278),Semyon Varlamov,13776278,G,7700,NYI@PHI 11/16/2019 07:00PM ET,NYI,15.6
,,,,,,,,,,,,,,G,Thomas Greiss (13776297),Thomas Greiss,13776297,G,7700,NYI@PHI 11/16/2019 07:00PM ET,NYI,19.59
,,,,,,,,,,,,,,C,Aleksander Barkov (13774944),Aleksander Barkov,13774944,C/UTIL,7600,NYR@FLA 11/16/2019 07:00PM ET,FLA,12.45
,,,,,,,,,,,,,,G,Frederik Andersen (13776279),Frederik Andersen,13776279,G,7600,TOR@PIT 11/16/2019 07:00PM ET,TOR,14.64
,,,,,,,,,,,,,,G,Matt Murray (13776280),Matt Murray,13776280,G,7600,TOR@PIT 11/16/2019 07:00PM ET,PIT,13.34
,,,,,,,,,,,,,,LW,Filip Forsberg (13775256),Filip Forsberg,13775256,W/UTIL,7600,CHI@NSH 11/16/2019 08:00PM ET,NSH,15.69
