Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40590-42417,W,Jonathan,Jonathan Drouin,Drouin,11.93684226588199,19,5100,NJ@MON,MON,NJ,IR,Upper body,,,
40590-66511,D,Ivan,Ivan Provorov,Provorov,10.921052631578947,19,5100,NYI@PHI,PHI,NYI,,,,,
40590-103523,D,Cale,Cale Makar,Makar,13.473684210526315,19,5000,COL@VAN,COL,VAN,,,,,
40590-8294,W,Derick,Derick Brassard,Brassard,10.411764705882353,17,5000,NYI@PHI,NYI,PHI,,,,,
40590-62783,W,Joonas,Joonas Donskoi,Donskoi,11.431578786749588,19,5000,COL@VAN,COL,VAN,,,,,
40590-23228,D,Justin,Justin Schultz,Schultz,9.510526155170641,19,5000,TOR@PIT,PIT,TOR,,,,,
40590-9083,D,Ryan,Ryan Ellis,Ellis,13.905555725097656,18,5000,CHI@NSH,NSH,CHI,,,,,
40590-111493,C,Jack,Jack Hughes,Hughes,8.644444783528646,18,5000,NJ@MON,NJ,MON,,,,,
40590-80991,C,Nico,Nico Hischier,Hischier,8.631250381469727,16,4800,NJ@MON,NJ,MON,,,,,
40590-12460,D,Cam,Cam Fowler,Fowler,9.09000015258789,20,4800,ANH@STL,ANH,STL,,,,,
40590-15280,W,Brandon,Brandon Saad,Saad,9.88888888888889,18,4800,CHI@NSH,CHI,NSH,,,,,
40590-66601,W,Jake,Jake DeBrusk,DeBrusk,8.086666870117188,15,4700,WSH@BOS,BOS,WSH,IR,Lower body,,,
40590-66686,W,Anthony,Anthony Beauvillier,Beauvillier,9.6823533002068,17,4700,NYI@PHI,NYI,PHI,,,,,
40590-43139,W,Andreas,Andreas Athanasiou,Athanasiou,9.131578947368421,19,4700,DET@SJ,DET,SJ,,,,,
40590-54521,D,Shayne,Shayne Gostisbehere,Gostisbehere,7.136842426500823,19,4700,NYI@PHI,PHI,NYI,,,,,
40590-58686,W,Kasperi,Kasperi Kapanen,Kapanen,8.976190476190476,21,4700,TOR@PIT,TOR,PIT,,,,,
40590-23041,W,Mikael,Mikael Granlund,Granlund,7.422222561306423,18,4700,CHI@NSH,NSH,CHI,,,,,
40590-58928,D,Tony,Tony DeAngelo,DeAngelo,12.08235258214614,17,4700,NYR@FLA,NYR,FLA,,,,,
40590-23233,W,Alex,Alex Galchenyuk,Galchenyuk,7.8900001525878904,10,4700,TOR@PIT,PIT,TOR,,,,,
40590-42833,W,Andre,Andre Burakovsky,Burakovsky,11.599999678762336,19,4700,COL@VAN,COL,VAN,,,,,
40590-9107,D,P.K.,P.K. Subban,Subban,8.444444444444445,18,4700,NJ@MON,NJ,MON,,,,,
40590-12220,C,Marcus,Marcus Johansson,Johansson,7.747058644014246,17,4700,OTT@BUF,BUF,OTT,IR,Upper body,,,
40590-11204,D,Jake,Jake Muzzin,Muzzin,11.259999847412109,20,4700,TOR@PIT,TOR,PIT,,,,,
40590-42993,D,Rasmus,Rasmus Ristolainen,Ristolainen,9.005555894639757,18,4700,OTT@BUF,BUF,OTT,,,,,
40590-79898,C,Colin,Colin White,White,6.133333206176758,12,4600,OTT@BUF,OTT,BUF,,,,,
