Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40490-62492,D,Erik,Erik Gustafsson,Gustafsson,5.862500190734863,16,4000,CHI@VGK,CHI,VGK,,,,,
40490-80992,C,Nolan,Nolan Patrick,Patrick,7.3138885498046875,72,4000,WSH@PHI,PHI,WSH,O,Head,,,
40490-8328,D,Matt,Matt Niskanen,Niskanen,8.900000179515166,17,4000,WSH@PHI,PHI,WSH,,,,,
40490-58332,W,Sam,Sam Bennett,Bennett,6.1166665818956165,18,4000,DAL@CGY,CGY,DAL,,,,,
40490-13472,D,Dmitry,Dmitry Orlov,Orlov,7.842105263157895,19,3900,WSH@PHI,WSH,PHI,,,,,
40490-39235,C,Chris,Chris Tierney,Tierney,7.911764705882353,17,3900,OTT@NJ,OTT,NJ,,,,,
40490-9033,C,Casey,Casey Cizikas,Cizikas,8.80000027743253,11,3900,TOR@NYI,NYI,TOR,,,,,
40490-23928,C,Radek,Radek Faksa,Faksa,7.983333163791233,18,3900,DAL@CGY,DAL,CGY,,,,,
40490-8490,D,Andy,Andy Greene,Greene,7.599999745686849,12,3800,OTT@NJ,NJ,OTT,,,,,
40490-9040,D,Calvin,Calvin de Haan,de Haan,7.3600001017252605,15,3800,CHI@VGK,CHI,VGK,,,,,
40490-66407,D,Philippe,Philippe Myers,Myers,11.866666158040365,6,3800,WSH@PHI,PHI,WSH,,,,,
40490-11158,D,T.J.,T.J. Brodie,Brodie,7.305000305175781,20,3800,DAL@CGY,CGY,DAL,,,,,
40490-8138,W,Bobby,Bobby Ryan,Ryan,5.107692425067608,13,3800,OTT@NJ,OTT,NJ,,,,,
40490-64101,D,Noah,Noah Hanifin,Hanifin,8.730000305175782,20,3700,DAL@CGY,CGY,DAL,,,,,
40490-43152,D,Damon,Damon Severson,Severson,5.599999904632568,16,3700,OTT@NJ,NJ,OTT,,,,,
40490-66756,W,Andrew,Andrew Mangiapane,Mangiapane,6.266666836208767,18,3700,DAL@CGY,CGY,DAL,,,,,
40490-39261,D,Scott,Scott Mayfield,Mayfield,7.925000190734863,16,3700,TOR@NYI,NYI,TOR,,,,,
40490-42862,D,Olli,Olli Maatta,Maatta,5.670588325051701,17,3700,CHI@VGK,CHI,VGK,,,,,
40490-21936,D,Dylan,Dylan DeMelo,DeMelo,5.082353030934053,17,3700,OTT@NJ,OTT,NJ,,,,,
40490-65970,W,Pavel,Pavel Zacha,Zacha,7.679999796549479,15,3700,OTT@NJ,NJ,OTT,,,,,
40490-8142,W,Corey,Corey Perry,Perry,6.44545468417081,11,3700,DAL@CGY,DAL,CGY,,,,,
40490-62927,C,Derek,Derek Ryan,Ryan,7.344999694824219,20,3700,DAL@CGY,CGY,DAL,,,,,
40490-37883,D,Cody,Cody Ceci,Ceci,6.526315789473684,19,3700,TOR@NYI,TOR,NYI,,,,,
40490-23054,W,Leo,Leo Komarov,Komarov,5.314285823277065,7,3600,TOR@NYI,NYI,TOR,,,,,
40490-8267,D,Brent,Brent Seabrook,Seabrook,6.166666666666667,15,3600,CHI@VGK,CHI,VGK,,,,,
40490-53866,D,Adam,Adam Pelech,Pelech,9.274999618530273,16,3600,TOR@NYI,NYI,TOR,,,,,
40490-66682,D,Travis,Travis Dermott,Dermott,5.733333587646484,6,3600,TOR@NYI,TOR,NYI,,,,,
40490-66688,D,Rasmus,Rasmus Andersson,Andersson,7.305000305175781,20,3600,DAL@CGY,CGY,DAL,,,,,
40490-11410,D,Justin,Justin Braun,Braun,5.552941266228171,17,3600,WSH@PHI,PHI,WSH,,,,,
40490-70375,D,Nikita,Nikita Zaitsev,Zaitsev,8.376470229204964,17,3600,OTT@NJ,OTT,NJ,,,,,
40490-59127,W,Garnet,Garnet Hathaway,Hathaway,5.915789553993626,19,3600,WSH@PHI,WSH,PHI,,,,,
40490-103203,W,Joel,Joel Farabee,Farabee,8.145454406738281,11,3600,WSH@PHI,PHI,WSH,,,,,
40490-13629,D,Taylor,Taylor Fedun,Fedun,6.613333129882813,15,3600,DAL@CGY,DAL,CGY,,,,,
40490-59235,W,Tomas,Tomas Nosek,Nosek,6.376470677992877,17,3600,CHI@VGK,VGK,CHI,,,,,
40490-59269,D,Robert,Robert Hagg,Hagg,5.6,10,3600,WSH@PHI,PHI,WSH,,,,,
40490-21935,D,Connor,Connor Murphy,Murphy,4.799999872843425,6,3600,CHI@VGK,CHI,VGK,IR,Groin,,,
40490-15293,D,Jamie,Jamie Oleksiak,Oleksiak,4.888888888888889,18,3600,DAL@CGY,DAL,CGY,,,,,
40490-70118,W,Miles,Miles Wood,Wood,5.900000095367432,16,3600,OTT@NJ,NJ,OTT,,,,,
40490-80369,W,Jesper,Jesper Bratt,Bratt,6.769230769230769,13,3600,OTT@NJ,NJ,OTT,,,,,
40490-12280,W,Magnus,Magnus Paajarvi,Paajarvi,6.220000076293945,80,3600,OTT@NJ,OTT,NJ,,,,,
40490-12793,D,Brayden,Brayden McNabb,McNabb,5.536841944644325,19,3600,CHI@VGK,VGK,CHI,,,,,
40490-104452,D,Jack,Jack Ramsey,Ramsey,0,0,3500,CHI@VGK,CHI,VGK,,,,,
40490-43014,W,William,William Carrier,Carrier,4.294736761795847,19,3500,CHI@VGK,VGK,CHI,,,,,
40490-38933,D,Slater,Slater Koekkoek,Koekkoek,6,8,3500,CHI@VGK,CHI,VGK,,,,,
40490-54822,C,Jason,Jason Dickinson,Dickinson,4.628571646554129,14,3500,DAL@CGY,DAL,CGY,,,,,
40490-82989,D,Dennis,Dennis Gilbert,Gilbert,2.6666666666666665,3,3500,CHI@VGK,CHI,VGK,,,,,
40490-68663,D,Andy,Andy Welinski,Welinski,4.461538461538462,26,3500,WSH@PHI,PHI,WSH,,,,,
40490-68664,D,Andreas,Andreas Englund,Englund,2.133333365122477,3,3500,OTT@NJ,OTT,NJ,,,,,
40490-82005,D,Nicolas,Nicolas Hague,Hague,4.263636502352628,11,3500,CHI@VGK,VGK,CHI,,,,,
40490-58974,D,Julius,Julius Honka,Honka,4.910344617120151,29,3500,DAL@CGY,DAL,CGY,O,Contract dispute,,,
40490-80480,D,Christian,Christian Jaros,Jaros,5.249180527984119,61,3500,OTT@NJ,OTT,NJ,,,,,
40490-58986,D,Erik,Erik Burgdoerfer,Burgdoerfer,0.800000011920929,4,3500,WSH@PHI,WSH,PHI,,,,,
40490-66671,D,Jonas,Jonas Siegenthaler,Siegenthaler,5.768420972322163,19,3500,WSH@PHI,WSH,PHI,,,,,
40490-41591,D,Jon,Jon Merrill,Merrill,4.444444444444445,18,3500,CHI@VGK,VGK,CHI,,,,,
40490-8827,D,Andrew,Andrew MacDonald,MacDonald,6.2468086405003325,47,3500,DAL@CGY,CGY,DAL,,,,,
40490-66689,D,Oliver,Oliver Kylington,Kylington,2.971428462437221,14,3500,DAL@CGY,CGY,DAL,,,,,
40490-66705,D,Ian,Ian McCoshen,McCoshen,3.410526476408306,19,3500,CHI@VGK,CHI,VGK,,,,,
40490-8850,D,Deryk,Deryk Engelland,Engelland,6.423529232249541,17,3500,CHI@VGK,VGK,CHI,,,,,
40490-84116,D,Erik,Erik Brannstrom,Brannstrom,3.299999952316284,16,3500,OTT@NJ,OTT,NJ,,,,,
40490-66710,D,Joel,Joel Hanley,Hanley,4.342857088361468,7,3500,DAL@CGY,DAL,CGY,,,,,
40490-43167,D,Mirco,Mirco Mueller,Mueller,3.1999999152289496,9,3500,OTT@NJ,NJ,OTT,,,,,
40490-116900,D,Thomas,Thomas Harley,Harley,0,0,3500,DAL@CGY,DAL,CGY,,,,,
40490-66745,D,Josh,Josh Jacobs,Jacobs,3.200000047683716,1,3500,OTT@NJ,NJ,OTT,,,,,
40490-82112,D,Juuso,Juuso Valimaki,Valimaki,5.900000254313151,24,3500,DAL@CGY,CGY,DAL,O,Knee,,,
40490-8391,D,Dennis,Dennis Seidenberg,Seidenberg,0,0,3500,TOR@NYI,NYI,TOR,,,,,
40490-54482,D,Stephen,Stephen Johns,Johns,0,0,3500,DAL@CGY,DAL,CGY,IR,Head,,,
40490-8411,D,Thomas,Thomas Hickey,Hickey,5.570000076293946,40,3500,TOR@NYI,NYI,TOR,,,,,
40490-21735,D,Matt,Matt Tennyson,Tennyson,4.8,10,3500,OTT@NJ,NJ,OTT,,,,,
40490-104173,D,Teemu,Teemu Kivihalme,Kivihalme,0,0,3500,TOR@NYI,TOR,NYI,,,,,
40490-70906,W,Alex,Alex Nylander,Nylander,7.331250190734863,16,3500,CHI@VGK,CHI,VGK,,,,,
40490-8956,D,Michael,Michael Stone,Stone,7.599999745686849,6,3500,DAL@CGY,CGY,DAL,,,,,
40490-59135,D,Justin,Justin Holl,Holl,5.929411944221048,17,3500,TOR@NYI,TOR,NYI,,,,,
40490-97024,D,Adam,Adam Boqvist,Boqvist,6.240000152587891,5,3500,CHI@VGK,CHI,VGK,,,,,
40490-59140,D,Kevin,Kevin Gravel,Gravel,2.6666666666666665,3,3500,TOR@NYI,TOR,NYI,,,,,
40490-117000,D,Rob,Rob Michel,Michel,0,0,3500,WSH@PHI,PHI,WSH,,,,,
40490-60686,W,Mattias,Mattias Janmark,Janmark,5.822222391764323,18,3500,DAL@CGY,DAL,CGY,O,Lower body,,,
40490-39710,D,Nick,Nick Jensen,Jensen,3.984210365696957,19,3500,WSH@PHI,WSH,PHI,,,,,
40490-9011,D,Andrej,Andrej Sekera,Sekera,5.257142748151507,14,3500,DAL@CGY,DAL,CGY,,,,,
40490-117050,D,Kaedan,Kaedan Korczak,Korczak,0,0,3500,CHI@VGK,VGK,CHI,,,,,
40490-117057,D,Rob,Rob Hamilton,Hamilton,0,0,3500,DAL@CGY,CGY,DAL,,,,,
40490-97091,D,Martin,Martin Fehervary,Fehervary,2.133333365122477,3,3500,WSH@PHI,WSH,PHI,,,,,
40490-12613,D,Radko,Radko Gudas,Gudas,6.821052952816612,19,3500,WSH@PHI,WSH,PHI,,,,,
40490-70472,W,Drake,Drake Caggiula,Caggiula,5.279999796549479,15,3500,CHI@VGK,CHI,VGK,O,Illness,,,
40490-8534,C,Jason,Jason Spezza,Spezza,6.6400001525878904,10,3500,TOR@NYI,TOR,NYI,,,,,
40490-12121,D,Cody,Cody Goloubef,Goloubef,1.600000023841858,1,3500,OTT@NJ,OTT,NJ,,,,,
40490-42844,D,Connor,Connor Carrick,Carrick,6,4,3500,OTT@NJ,NJ,OTT,IR,Finger,,,
40490-42846,D,Tyler,Tyler Lewington,Lewington,2.2399999618530275,5,3500,WSH@PHI,WSH,PHI,,,,,
40490-42855,D,Ben,Ben Harpur,Harpur,4.596078311695772,51,3500,TOR@NYI,TOR,NYI,,,,,
40490-14184,D,Martin,Martin Marincin,Marincin,3.1999999455043246,7,3500,TOR@NYI,TOR,NYI,,,,,
40490-62825,D,Jordan,Jordan Schmaltz,Schmaltz,3.4400001525878907,20,3500,TOR@NYI,TOR,NYI,,,,,
40490-11119,D,Nate,Nate Prosser,Prosser,2.453333282470703,15,3500,WSH@PHI,PHI,WSH,,,,,
40490-117111,D,Maxence,Maxence Guenette,Guenette,0,0,3500,OTT@NJ,OTT,NJ,,,,,
40490-103298,D,Jimmy,Jimmy Schuldt,Schuldt,11.199999809265137,1,3500,CHI@VGK,VGK,CHI,,,,,
40490-82828,D,Christian,Christian Wolanin,Wolanin,7.356666564941406,30,3500,OTT@NJ,OTT,NJ,O,Shoulder,,,
40490-74132,D,Maxime,Maxime Lajoie,Lajoie,7.314285823277065,56,3500,OTT@NJ,OTT,NJ,,,,,
40490-97176,D,Rasmus,Rasmus Sandin,Sandin,4.799999872843425,6,3500,TOR@NYI,TOR,NYI,,,,,
40490-13743,D,Mark,Mark Borowiecki,Borowiecki,8.141176111557904,17,3500,OTT@NJ,OTT,NJ,,,,,
40490-97213,D,Ty,Ty Smith,Smith,0,0,3500,OTT@NJ,NJ,OTT,,,,,
40490-97214,D,Noah,Noah Dobson,Dobson,5.333333333333333,6,3500,TOR@NYI,NYI,TOR,,,,,
40490-117193,D,Justin,Justin Murray,Murray,0,0,3500,TOR@NYI,NYI,TOR,,,,,
40490-117192,D,Samuel,Samuel Bolduc,Bolduc,0,0,3500,TOR@NYI,NYI,TOR,,,,,
40490-8650,D,Roman,Roman Polak,Polak,3.200000047683716,1,3500,DAL@CGY,DAL,CGY,IR,Upper body,,,
40490-79822,D,Gavin,Gavin Bayreuther,Bayreuther,6.284210606625206,19,3500,DAL@CGY,DAL,CGY,,,,,
40490-97230,D,Bode,Bode Wilde,Wilde,0,0,3500,TOR@NYI,NYI,TOR,O,Ankle,,,
40490-54744,D,Christian,Christian Djoos,Djoos,4.035555691189236,45,3500,WSH@PHI,WSH,PHI,,,,,
40490-15328,D,Brandon,Brandon Davidson,Davidson,4.320000076293946,10,3500,DAL@CGY,CGY,DAL,,,,,
40490-8167,D,Ron,Ron Hainsey,Hainsey,5.3411766501034,17,3500,OTT@NJ,OTT,NJ,,,,,
40490-62443,D,Jaycob,Jaycob Megna,Megna,4.714285714285714,28,3500,CHI@VGK,VGK,CHI,,,,,
40490-11245,D,Brian,Brian Strait,Strait,0,0,3500,OTT@NJ,NJ,OTT,,,,,
40490-8178,W,Milan,Milan Lucic,Lucic,3.850000169542101,18,3500,DAL@CGY,CGY,DAL,,,,,
40490-15349,D,Joe,Joe Morrow,Morrow,4.468292608493712,41,3500,OTT@NJ,NJ,OTT,,,,,
40490-43000,D,Samuel,Samuel Morin,Morin,0,1,3500,WSH@PHI,PHI,WSH,IR,Knee,,,
40490-15357,W,Carl,Carl Hagelin,Hagelin,5.388235204360065,17,3500,WSH@PHI,WSH,PHI,O,Upper body,,,
40490-79870,D,Jake,Jake Bischoff,Bischoff,5.599999904632568,4,3500,CHI@VGK,VGK,CHI,,,,,
40490-11284,C,Cody,Cody Eakin,Eakin,4.3,15,3400,CHI@VGK,VGK,CHI,,,,,
40490-66600,W,Blake,Blake Coleman,Coleman,6.949999809265137,16,3400,OTT@NJ,NJ,OTT,,,,,
40490-13913,W,Tom,Tom Kuhnhackl,Kuhnhackl,3.4666665395100913,6,3400,TOR@NYI,NYI,TOR,IR,Lower body,,,
40490-40039,W,Michael,Michael Raffl,Raffl,6.447058733771829,17,3400,WSH@PHI,PHI,WSH,,,,,
40490-8475,C,Travis,Travis Zajac,Zajac,4.25,16,3400,OTT@NJ,NJ,OTT,,,,,
40490-8503,W,Blake,Blake Comeau,Comeau,2.799999952316284,4,3400,DAL@CGY,DAL,CGY,,,,,
40490-59261,W,Nick,Nick Paul,Paul,9.641666412353516,12,3400,OTT@NJ,OTT,NJ,,,,,
40490-42922,W,Dominik,Dominik Kubalik,Kubalik,9.493749618530273,16,3400,CHI@VGK,CHI,VGK,,,,,
40490-80028,C,David,David Kampf,Kampf,7.223529591279871,17,3300,CHI@VGK,CHI,VGK,,,,,
40490-8357,W,Andrew,Andrew Cogliano,Cogliano,2.7555554707845054,18,3300,DAL@CGY,DAL,CGY,,,,,
40490-8384,W,Michael,Michael Frolik,Frolik,3.5111111534966364,18,3300,DAL@CGY,CGY,DAL,,,,,
40490-70909,C,Logan,Logan Brown,Brown,6.125,4,3300,OTT@NJ,OTT,NJ,IR,Upper body,,,
40490-74112,W,Trevor,Trevor Moore,Moore,6.715789393374794,19,3300,TOR@NYI,TOR,NYI,,,,,
40490-61550,C,Cole,Cole Bardreau,Bardreau,4,9,3200,TOR@NYI,NYI,TOR,,,,,
40490-14486,W,Garrett,Garrett Wilson,Wilson,3.68,50,3200,TOR@NYI,TOR,NYI,,,,,
40490-66719,W,Dmytro,Dmytro Timashov,Timashov,4.533333333333333,15,3200,TOR@NYI,TOR,NYI,,,,,
40490-43196,W,Alan,Alan Quine,Quine,3.8222223917643228,9,3200,DAL@CGY,CGY,DAL,,,,,
40490-66757,W,Filip,Filip Chlapik,Chlapik,6.057143075125558,7,3200,OTT@NJ,OTT,NJ,,,,,
40490-54478,C,Nic,Nic Dowd,Dowd,4.338461655836839,13,3200,WSH@PHI,WSH,PHI,,,,,
40490-8425,W,Cal,Cal Clutterbuck,Clutterbuck,7.349999904632568,16,3200,TOR@NYI,NYI,TOR,,,,,
40490-73998,W,Vitaly,Vitaly Abramov,Abramov,8.399999618530273,2,3200,OTT@NJ,OTT,NJ,,,,,
40490-82190,W,Drake,Drake Batherson,Batherson,1.600000023841858,2,3200,OTT@NJ,OTT,NJ,,,,,
40490-9006,W,Tyler,Tyler Ennis,Ennis,8.388235653147978,17,3200,OTT@NJ,OTT,NJ,,,,,
40490-62276,W,Austin,Austin Czarnik,Czarnik,6.262499809265137,8,3200,DAL@CGY,CGY,DAL,IR,Lower body,,,
40490-42839,W,Chandler,Chandler Stephenson,Stephenson,4.293333435058594,15,3200,WSH@PHI,WSH,PHI,,,,,
40490-59251,W,Michael,Michael Dal Colle,Dal Colle,3.573333231608073,15,3200,TOR@NYI,NYI,TOR,,,,,
