CSV was read! There are 17 players.
Joe Nemechek (D),Matt DiBenedetto (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),47000,145500,83600
Parker Kligerman (D),Matt DiBenedetto (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),47500,145500,83600
Ross Chastain (D),Matt DiBenedetto (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),48000,113000,68600
Matt Tifft (D),Matt DiBenedetto (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),48000,78000,48600
Ty Dillon (D),Matt DiBenedetto (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),50000,38000,48600
Michael McDowell (D),Matt DiBenedetto (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),49500,19000,22600
Joe Nemechek (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),48000,143000,81600
Parker Kligerman (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),48500,143000,81600
Ross Chastain (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),49000,110500,66600
Matt Tifft (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),Chase Elliott (D),49000,75500,46600
Austin Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Kyle Larson (D),45200,44875,48800
Ty Dillon (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Kyle Larson (D),45700,44875,56800
Austin Dillon (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Kyle Larson (D),46200,42375,46800
Michael McDowell (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Kyle Larson (D),45200,25875,30800
Ty Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Kyle Larson (D),45200,40875,51800
Austin Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Kyle Larson (D),45700,38375,41800
Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Kyle Larson (D),48700,19875,21800
Ty Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Denny Hamlin (D),Kyle Larson (D),45000,45925,57400
Austin Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Denny Hamlin (D),Kyle Larson (D),45500,43425,47400
Ty Dillon (D),Austin Dillon (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),45200,62175,75400
Joe Nemechek (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),45200,151175,90400
Parker Kligerman (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),45700,151175,90400
Ross Chastain (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),46200,118675,75400
Matt Tifft (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),46200,83675,55400
Ty Dillon (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),48200,43675,55400
Austin Dillon (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),48700,41175,45400
Michael McDowell (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),47700,24675,29400
Parker Kligerman (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),45200,147175,85400
Ross Chastain (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),45700,114675,70400
Matt Tifft (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),45700,79675,50400
Ty Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),47700,39675,50400
Austin Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),48200,37175,40400
Michael McDowell (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Kyle Larson (D),47200,20675,24400
Ty Dillon (D),Ryan Newman (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),46000,43425,55400
Austin Dillon (D),Ryan Newman (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),46500,40925,45400
Michael McDowell (D),Ryan Newman (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),45500,24425,29400
Ty Dillon (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),45500,39425,50400
Austin Dillon (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),46000,36925,40400
Michael McDowell (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),45000,20425,24400
