Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Ryan Ellis (13684425),Ryan Ellis,13684425,D/UTIL,5000,NYR@NSH 11/02/2019 02:00PM ET,NSH,11.7
LW,Alex Galchenyuk (13684319),Alex Galchenyuk,13684319,W/UTIL,4800,EDM@PIT 11/02/2019 01:00PM ET,PIT,5.82
C,Ryan Johansen (13684251),Ryan Johansen,13684251,C/UTIL,4800,NYR@NSH 11/02/2019 02:00PM ET,NSH,7.09
RW,Dominik Simon (13684321),Dominik Simon,13684321,W/UTIL,4600,EDM@PIT 11/02/2019 01:00PM ET,PIT,8.28
C,Ryan Strome (13684255),Ryan Strome,13684255,C/UTIL,4300,NYR@NSH 11/02/2019 02:00PM ET,NYR,8.65
RW,Pavel Buchnevich (13684325),Pavel Buchnevich,13684325,W/UTIL,4300,NYR@NSH 11/02/2019 02:00PM ET,NYR,8.03
D,Tony DeAngelo (13684431),Tony DeAngelo,13684431,D/UTIL,4300,NYR@NSH 11/02/2019 02:00PM ET,NYR,9.61
RW,Zack Kassian (13684327),Zack Kassian,13684327,W/UTIL,4200,EDM@PIT 11/02/2019 01:00PM ET,EDM,6.16
D,Justin Schultz (13684433),Justin Schultz,13684433,D/UTIL,4100,EDM@PIT 11/02/2019 01:00PM ET,PIT,8.62
LW,Chris Kreider (13684329),Chris Kreider,13684329,W/UTIL,4100,NYR@NSH 11/02/2019 02:00PM ET,NYR,7.76
D,Ethan Bear (13684435),Ethan Bear,13684435,D/UTIL,4000,EDM@PIT 11/02/2019 01:00PM ET,EDM,5.65
D,Brady Skjei (13684437),Brady Skjei,13684437,D/UTIL,3900,NYR@NSH 11/02/2019 02:00PM ET,NYR,8.63
C,Filip Chytil (13684257),Filip Chytil,13684257,C/UTIL,3800,NYR@NSH 11/02/2019 02:00PM ET,NYR,15.6
D,Brian Dumoulin (13684443),Brian Dumoulin,13684443,D/UTIL,3700,EDM@PIT 11/02/2019 01:00PM ET,PIT,6.4
RW,Kaapo Kakko (13684337),Kaapo Kakko,13684337,W/UTIL,3700,NYR@NSH 11/02/2019 02:00PM ET,NYR,5.5
C,Jared McCann (13684339),Jared McCann,13684339,C/UTIL,3600,EDM@PIT 11/02/2019 01:00PM ET,PIT,7.88
RW,Jesper Fast (13684335),Jesper Fast,13684335,W/UTIL,3600,NYR@NSH 11/02/2019 02:00PM ET,NYR,6.09
D,Dante Fabbro (13684441),Dante Fabbro,13684441,D/UTIL,3500,NYR@NSH 11/02/2019 02:00PM ET,NSH,6.53
C,Nick Bjugstad (13684259),Nick Bjugstad,13684259,C/UTIL,3400,EDM@PIT 11/02/2019 01:00PM ET,PIT,4.35
D,Marcus Pettersson (13684439),Marcus Pettersson,13684439,D/UTIL,3400,EDM@PIT 11/02/2019 01:00PM ET,PIT,6.07
RW,Austin Watson (13684341),Austin Watson,13684341,W/UTIL,3400,NYR@NSH 11/02/2019 02:00PM ET,NSH,7.13
D,Adam Larsson (13684445),Adam Larsson,13684445,D/UTIL,3300,EDM@PIT 11/02/2019 01:00PM ET,EDM,9.7
LW,Rocco Grimaldi (13684343),Rocco Grimaldi,13684343,W/UTIL,3300,NYR@NSH 11/02/2019 02:00PM ET,NSH,6.83
D,Kris Russell (13684447),Kris Russell,13684447,D/UTIL,3200,EDM@PIT 11/02/2019 01:00PM ET,EDM,5.34
C,Kyle Turris (13684261),Kyle Turris,13684261,C/UTIL,3200,NYR@NSH 11/02/2019 02:00PM ET,NSH,6.37
LW,Colton Sissons (13684345),Colton Sissons,13684345,W/UTIL,3200,NYR@NSH 11/02/2019 02:00PM ET,NSH,7.72
LW,Dominik Kahun (13684349),Dominik Kahun,13684349,W/UTIL,3000,EDM@PIT 11/02/2019 01:00PM ET,PIT,5.88
C,Brett Howden (13684263),Brett Howden,13684263,C/UTIL,3000,NYR@NSH 11/02/2019 02:00PM ET,NYR,6.87
D,Adam Fox (13684449),Adam Fox,13684449,D/UTIL,3000,NYR@NSH 11/02/2019 02:00PM ET,NYR,4.71
RW,Sam Gagner (13684351),Sam Gagner,13684351,W/UTIL,2900,EDM@PIT 11/02/2019 01:00PM ET,EDM,4.2
D,Matt Benning (13684451),Matt Benning,13684451,D/UTIL,2900,EDM@PIT 11/02/2019 01:00PM ET,EDM,3.19
D,Libor Hajek (13684453),Libor Hajek,13684453,D/UTIL,2900,NYR@NSH 11/02/2019 02:00PM ET,NYR,5.24
C,Gaetan Haas (13684265),Gaetan Haas,13684265,C/UTIL,2800,EDM@PIT 11/02/2019 01:00PM ET,EDM,1.91
LW,Zach Aston-Reese (13684353),Zach Aston-Reese,13684353,W/UTIL,2800,EDM@PIT 11/02/2019 01:00PM ET,PIT,7.59
RW,Alex Chiasson (13684357),Alex Chiasson,13684357,W/UTIL,2800,EDM@PIT 11/02/2019 01:00PM ET,EDM,3.49
D,Marc Staal (13684455),Marc Staal,13684455,D/UTIL,2800,NYR@NSH 11/02/2019 02:00PM ET,NYR,5.86
LW,Jujhar Khaira (13684359),Jujhar Khaira,13684359,W/UTIL,2700,EDM@PIT 11/02/2019 01:00PM ET,EDM,2.88
D,Joel Persson (13684457),Joel Persson,13684457,D/UTIL,2700,EDM@PIT 11/02/2019 01:00PM ET,EDM,4.23
LW,Brendan Lemieux (13684355),Brendan Lemieux,13684355,W/UTIL,2700,NYR@NSH 11/02/2019 02:00PM ET,NYR,4.22
C,Teddy Blueger (13684267),Teddy Blueger,13684267,C/UTIL,2600,EDM@PIT 11/02/2019 01:00PM ET,PIT,4.48
RW,Patrick Russell (13684361),Patrick Russell,13684361,W/UTIL,2600,EDM@PIT 11/02/2019 01:00PM ET,EDM,3.79
D,Jack Johnson (13684461),Jack Johnson,13684461,D/UTIL,2600,EDM@PIT 11/02/2019 01:00PM ET,PIT,3.37
D,Matt Irwin (13684459),Matt Irwin,13684459,D/UTIL,2600,NYR@NSH 11/02/2019 02:00PM ET,NSH,3.6
C,Riley Sheahan (13684271),Riley Sheahan,13684271,C/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,EDM,1.34
C,Colby Cave (13684273),Colby Cave,13684273,C/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,EDM,0
C,Bogdan Yakimov (13684277),Bogdan Yakimov,13684277,C/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,EDM,0
C,Oula Palve (13684281),Oula Palve,13684281,C/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,PIT,0
C,Dominik Uher (13684283),Dominik Uher,13684283,C/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,PIT,0
C,Kyle Brodziak (13684289),Kyle Brodziak,13684289,C/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,EDM,0
C,Adam Johnson (13684293),Adam Johnson,13684293,C/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,PIT,3.56
C,Cooper Marody (13684299),Cooper Marody,13684299,C/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,EDM,0
LW,Markus Granlund (13684365),Markus Granlund,13684365,W/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,EDM,1.76
LW,Tomas Jurco (13684373),Tomas Jurco,13684373,W/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,EDM,2.22
RW,Josh Archibald (13684375),Josh Archibald,13684375,W/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,EDM,1.82
LW,Joakim Nygard (13684377),Joakim Nygard,13684377,W/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,EDM,4.1
RW,Kailer Yamamoto (13684381),Kailer Yamamoto,13684381,W/UTIL,2500,EDM@PIT 11/02/2019 01:00PM ET,EDM,0
