Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,Tom Kuhnhackl (13687704),Tom Kuhnhackl,13687704,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,3.58
RW,Andrew Ladd (13687716),Andrew Ladd,13687716,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,0
LW,Scott Wilson (13687746),Scott Wilson,13687746,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
RW,Simon Holmstrom (13687774),Simon Holmstrom,13687774,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,0
LW,Kieffer Bellows (13687776),Kieffer Bellows,13687776,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,0
RW,Travis St. Denis (13687778),Travis St. Denis,13687778,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,0
RW,Tage Thompson (13687816),Tage Thompson,13687816,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
RW,Joshua Ho-Sang (13687822),Joshua Ho-Sang,13687822,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,0
LW,Remi Elie (13687866),Remi Elie,13687866,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
LW,C.J. Smith (13687894),C.J. Smith,13687894,W/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
D,Noah Dobson (13688274),Noah Dobson,13688274,D/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,3.6
D,John Gilmour (13688280),John Gilmour,13688280,D/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,3.3
D,Zach Bogosian (13688286),Zach Bogosian,13688286,D/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
D,Matt Hunwick (13688310),Matt Hunwick,13688310,D/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
D,William Borgen (13688372),William Borgen,13688372,D/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
D,Lawrence Pilut (13688378),Lawrence Pilut,13688378,D/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
D,Casey Nelson (13688400),Casey Nelson,13688400,D/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,BUF,0
D,Thomas Hickey (13688462),Thomas Hickey,13688462,D/UTIL,2500,NYI@BUF 11/02/2019 07:00PM ET,NYI,0
C,Jacob de la Rose (13687090),Jacob de la Rose,13687090,C/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,3.91
C,Christoffer Ehn (13687110),Christoffer Ehn,13687110,C/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,1.24
C,Joseph Veleno (13687140),Joseph Veleno,13687140,C/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,0
C,Henrik Borgstrom (13687198),Henrik Borgstrom,13687198,C/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,1.12
C,Dominic Turgeon (13687224),Dominic Turgeon,13687224,C/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,0
C,Aleksi Heponiemi (13687244),Aleksi Heponiemi,13687244,C/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,0
C,Rodrigo Abols (13687246),Rodrigo Abols,13687246,C/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,0
C,Aleksi Saarela (13687248),Aleksi Saarela,13687248,C/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,0
RW,Taro Hirose (13687612),Taro Hirose,13687612,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,3.41
RW,Adam Erne (13687622),Adam Erne,13687622,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,3.08
LW,Justin Abdelkader (13687670),Justin Abdelkader,13687670,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,3.71
RW,Michael Rasmussen (13687828),Michael Rasmussen,13687828,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,0
RW,Owen Tippett (13687840),Owen Tippett,13687840,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,0
RW,Kevin Roy (13687842),Kevin Roy,13687842,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,0
RW,Anthony Greco (13687844),Anthony Greco,13687844,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,0
RW,Jack Rodewald (13687858),Jack Rodewald,13687858,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,0
LW,Ryan Kuffner (13687862),Ryan Kuffner,13687862,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,0
LW,Matt Puempel (13687864),Matt Puempel,13687864,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,0
RW,Paul Thompson (13687878),Paul Thompson,13687878,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,0
RW,Evgeny Svechnikov (13687916),Evgeny Svechnikov,13687916,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,2.95
LW,Filip Zadina (13687920),Filip Zadina,13687920,W/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,0
D,Riley Stillman (13688196),Riley Stillman,13688196,D/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,2.15
D,Mark Pysyk (13688200),Mark Pysyk,13688200,D/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,4.02
D,Madison Bowey (13688206),Madison Bowey,13688206,D/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,4.08
D,Trevor Daley (13688214),Trevor Daley,13688214,D/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,3.1
D,Josh Brown (13688262),Josh Brown,13688262,D/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,3.34
D,Brady Keeper (13688328),Brady Keeper,13688328,D/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,0
D,Brian Lashoff (13688332),Brian Lashoff,13688332,D/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,0
D,Dylan McIlrath (13688334),Dylan McIlrath,13688334,D/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,0
D,Oliwer Kaski (13688344),Oliwer Kaski,13688344,D/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,0
D,Jonathan Ericsson (13688402),Jonathan Ericsson,13688402,D/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,DET,0
D,Tommy Cross (13688428),Tommy Cross,13688428,D/UTIL,2500,DET@FLA 11/02/2019 07:00PM ET,FLA,0
C,Nicholas Shore (13687100),Nicholas Shore,13687100,C/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,1.93
C,Connor Bunnaman (13687132),Connor Bunnaman,13687132,C/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,1.82
C,Mikhail Vorobyev (13687186),Mikhail Vorobyev,13687186,C/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,2.46
