Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Artem Anisimov (13604592),Artem Anisimov,13604592,C/UTIL,3500,OTT@DAL 10/21/2019 08:30PM ET,OTT,6.42
RW,Anthony Duclair (13604750),Anthony Duclair,13604750,W/UTIL,3500,OTT@DAL 10/21/2019 08:30PM ET,OTT,6.91
D,Andrej Sekera (13604936),Andrej Sekera,13604936,D/UTIL,3500,OTT@DAL 10/21/2019 08:30PM ET,DAL,5.84
C,Alexander Wennberg (13604594),Alexander Wennberg,13604594,C/UTIL,3400,CLS@TOR 10/21/2019 07:00PM ET,CLS,5.3
D,Nick Holden (13604938),Nick Holden,13604938,D/UTIL,3400,VGK@PHI 10/21/2019 07:00PM ET,VGK,6.28
RW,Alexander Steen (13604752),Alexander Steen,13604752,W/UTIL,3400,COL@STL 10/21/2019 08:00PM ET,STL,6.15
D,Markus Nutivaara (13604942),Markus Nutivaara,13604942,D/UTIL,3300,CLS@TOR 10/21/2019 07:00PM ET,CLS,7.96
C,Cody Eakin (13604596),Cody Eakin,13604596,C/UTIL,3300,VGK@PHI 10/21/2019 07:00PM ET,VGK,2.8
D,Matt Niskanen (13604940),Matt Niskanen,13604940,D/UTIL,3300,VGK@PHI 10/21/2019 07:00PM ET,PHI,6.38
C,Tyler Bozak (13604598),Tyler Bozak,13604598,C/UTIL,3300,COL@STL 10/21/2019 08:00PM ET,STL,4.45
LW,Bobby Ryan (13604754),Bobby Ryan,13604754,W/UTIL,3300,OTT@DAL 10/21/2019 08:30PM ET,OTT,5.8
D,Travis Sanheim (13604944),Travis Sanheim,13604944,D/UTIL,3200,VGK@PHI 10/21/2019 07:00PM ET,PHI,4.45
RW,Colin Wilson (13604756),Colin Wilson,13604756,W/UTIL,3200,COL@STL 10/21/2019 08:00PM ET,COL,4.97
D,Ian Cole (13604946),Ian Cole,13604946,D/UTIL,3200,COL@STL 10/21/2019 08:00PM ET,COL,8.82
C,Chris Tierney (13604600),Chris Tierney,13604600,C/UTIL,3200,OTT@DAL 10/21/2019 08:30PM ET,OTT,7.21
D,Brayden McNabb (13604948),Brayden McNabb,13604948,D/UTIL,3100,VGK@PHI 10/21/2019 07:00PM ET,VGK,5.82
D,Ryan Graves (13604950),Ryan Graves,13604950,D/UTIL,3100,COL@STL 10/21/2019 08:00PM ET,COL,7.64
C,Radek Faksa (13604602),Radek Faksa,13604602,C/UTIL,3100,OTT@DAL 10/21/2019 08:30PM ET,DAL,5.11
LW,Mattias Janmark (13604758),Mattias Janmark,13604758,W/UTIL,3100,OTT@DAL 10/21/2019 08:30PM ET,DAL,4.72
RW,Trevor Moore (13604760),Trevor Moore,13604760,W/UTIL,3000,CLS@TOR 10/21/2019 07:00PM ET,TOR,8.34
C,Scott Laughton (13604604),Scott Laughton,13604604,C/UTIL,3000,VGK@PHI 10/21/2019 07:00PM ET,PHI,5.35
D,Robert Hagg (13604952),Robert Hagg,13604952,D/UTIL,3000,VGK@PHI 10/21/2019 07:00PM ET,PHI,7.77
RW,J.T. Compher (13604606),J.T. Compher,13604606,W/UTIL,3000,COL@STL 10/21/2019 08:00PM ET,COL,7.06
D,Jay Bouwmeester (13604974),Jay Bouwmeester,13604974,D/UTIL,3000,COL@STL 10/21/2019 08:00PM ET,STL,4.81
LW,Alexandre Texier (13604762),Alexandre Texier,13604762,W/UTIL,2900,CLS@TOR 10/21/2019 07:00PM ET,CLS,4.45
C,Tomas Nosek (13604608),Tomas Nosek,13604608,C/UTIL,2900,VGK@PHI 10/21/2019 07:00PM ET,VGK,8.6
D,Nikita Zadorov (13604956),Nikita Zadorov,13604956,D/UTIL,2900,COL@STL 10/21/2019 08:00PM ET,COL,5.66
D,Erik Brannstrom (13604954),Erik Brannstrom,13604954,D/UTIL,2900,OTT@DAL 10/21/2019 08:30PM ET,OTT,5.36
C,Nicholas Shore (13604610),Nicholas Shore,13604610,C/UTIL,2800,CLS@TOR 10/21/2019 07:00PM ET,TOR,2.6
LW,Dmytro Timashov (13604768),Dmytro Timashov,13604768,W/UTIL,2800,CLS@TOR 10/21/2019 07:00PM ET,TOR,5.63
D,Jake Bischoff (13604964),Jake Bischoff,13604964,D/UTIL,2800,VGK@PHI 10/21/2019 07:00PM ET,VGK,9.9
LW,Matt Nieto (13604764),Matt Nieto,13604764,W/UTIL,2800,COL@STL 10/21/2019 08:00PM ET,COL,5.74
LW,Robby Fabbri (13604766),Robby Fabbri,13604766,W/UTIL,2800,COL@STL 10/21/2019 08:00PM ET,STL,2.54
D,Robert Bortuzzo (13604958),Robert Bortuzzo,13604958,D/UTIL,2800,COL@STL 10/21/2019 08:00PM ET,STL,4.17
D,Taylor Fedun (13604960),Taylor Fedun,13604960,D/UTIL,2800,OTT@DAL 10/21/2019 08:30PM ET,DAL,3.67
D,Mark Borowiecki (13604962),Mark Borowiecki,13604962,D/UTIL,2800,OTT@DAL 10/21/2019 08:30PM ET,OTT,6.71
RW,Emil Bemstrom (13604772),Emil Bemstrom,13604772,W/UTIL,2700,CLS@TOR 10/21/2019 07:00PM ET,CLS,3.52
RW,Frederik Gauthier (13604774),Frederik Gauthier,13604774,W/UTIL,2700,CLS@TOR 10/21/2019 07:00PM ET,TOR,5.21
D,Justin Holl (13604972),Justin Holl,13604972,D/UTIL,2700,CLS@TOR 10/21/2019 07:00PM ET,TOR,4.47
RW,Tyler Pitlick (13604770),Tyler Pitlick,13604770,W/UTIL,2700,VGK@PHI 10/21/2019 07:00PM ET,PHI,2.45
D,Jon Merrill (13604966),Jon Merrill,13604966,D/UTIL,2700,VGK@PHI 10/21/2019 07:00PM ET,VGK,4.43
D,Justin Braun (13604968),Justin Braun,13604968,D/UTIL,2700,VGK@PHI 10/21/2019 07:00PM ET,PHI,4.5
C,Oskar Sundqvist (13604612),Oskar Sundqvist,13604612,C/UTIL,2700,COL@STL 10/21/2019 08:00PM ET,STL,5.41
D,Ron Hainsey (13604970),Ron Hainsey,13604970,D/UTIL,2700,OTT@DAL 10/21/2019 08:30PM ET,OTT,5.96
C,Jason Spezza (13604614),Jason Spezza,13604614,C/UTIL,2600,CLS@TOR 10/21/2019 07:00PM ET,TOR,3.82
D,Vladislav Gavrikov (13604976),Vladislav Gavrikov,13604976,D/UTIL,2600,CLS@TOR 10/21/2019 07:00PM ET,CLS,3.47
D,Martin Marincin (13604978),Martin Marincin,13604978,D/UTIL,2600,CLS@TOR 10/21/2019 07:00PM ET,TOR,3.62
C,Michael Raffl (13604616),Michael Raffl,13604616,C/UTIL,2600,VGK@PHI 10/21/2019 07:00PM ET,PHI,4.57
LW,William Carrier (13604778),William Carrier,13604778,W/UTIL,2600,VGK@PHI 10/21/2019 07:00PM ET,VGK,4.4
RW,Robert Thomas (13604776),Robert Thomas,13604776,W/UTIL,2600,COL@STL 10/21/2019 08:00PM ET,STL,1.5
LW,Matt Calvert (13604780),Matt Calvert,13604780,W/UTIL,2600,COL@STL 10/21/2019 08:00PM ET,COL,5.81
RW,Scott Sabourin (13604782),Scott Sabourin,13604782,W/UTIL,2600,OTT@DAL 10/21/2019 08:30PM ET,OTT,3.74
D,Stephen Johns (13604980),Stephen Johns,13604980,D/UTIL,2600,OTT@DAL 10/21/2019 08:30PM ET,DAL,0
C,Riley Nash (13604620),Riley Nash,13604620,C/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,3.68
C,Zac Dalpe (13604630),Zac Dalpe,13604630,C/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
C,Tyler Gaudet (13604636),Tyler Gaudet,13604636,C/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,0
C,Kevin Stenlund (13604648),Kevin Stenlund,13604648,C/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
C,Kalle Kossila (13604652),Kalle Kossila,13604652,C/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,0
C,Liam Foudy (13604656),Liam Foudy,13604656,C/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
RW,Jakob Lilja (13604788),Jakob Lilja,13604788,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,3.89
LW,Sonny Milano (13604798),Sonny Milano,13604798,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,3.75
