Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Odds,,,,,,
RB,Alexander Mattison (13564998),Alexander Mattison,13564998,RB/FLEX,4600,MIN@DET 10/20/2019 01:00PM ET,MIN,5.33,300,,,Zay Jones,3300,3300,550
WR,Mohamed Sanu (13565206),Mohamed Sanu,13565206,WR/FLEX,4600,LAR@ATL 10/20/2019 01:00PM ET,ATL,11.55,275,,,Aaron Rodgers,3500,3500,600
QB,Dwayne Haskins Jr. (13564911),Dwayne Haskins Jr.,13564911,QB,4500,SF@WAS 10/20/2019 01:00PM ET,WAS,3.58,#N/A,,,DeAndre Washington,3500,3500,600
WR,Deebo Samuel (13565210),Deebo Samuel,13565210,WR/FLEX,4500,SF@WAS 10/20/2019 01:00PM ET,SF,7.92,260,,,Any Other Oakland Raiders Player,3500,3500,550
RB,Elijhaa Penny (13565004),Elijhaa Penny,13565004,RB/FLEX,4500,ARI@NYG 10/20/2019 01:00PM ET,NYG,1.08,2200,,,Keelan Doss,4500,4500,800
QB,Sean Mannion (13564910),Sean Mannion,13564910,QB,4500,MIN@DET 10/20/2019 01:00PM ET,MIN,-0.2,#N/A,,,Ryan Grant,4500,4500,800
RB,Giovani Bernard (13565000),Giovani Bernard,13565000,RB/FLEX,4500,JAX@CIN 10/20/2019 01:00PM ET,CIN,4.95,275,,,Marcell Ateman,4500,4500,850
WR,Auden Tate (13565212),Auden Tate,13565212,WR/FLEX,4500,JAX@CIN 10/20/2019 01:00PM ET,CIN,10.02,260,,,Dwayne Harris,6000,6000,1000
QB,Josh Rosen (13564912),Josh Rosen,13564912,QB,4500,MIA@BUF 10/20/2019 01:00PM ET,MIA,4.6,#N/A,,,Jalen Richard,6000,6000,1000
QB,Ryan Fitzpatrick (13564913),Ryan Fitzpatrick,13564913,QB,4500,MIA@BUF 10/20/2019 01:00PM ET,MIA,5.82,2200,,,Trevor Davis,6000,6000,1000
QB,Blake Bortles (13564909),Blake Bortles,13564909,QB,4500,LAR@ATL 10/20/2019 01:00PM ET,LAR,0,#N/A,,,Derek Carr,6000,6000,1000
RB,Ito Smith (13565002),Ito Smith,13565002,RB/FLEX,4500,LAR@ATL 10/20/2019 01:00PM ET,ATL,5.93,350,,,Dan Vitale,7000,7000,1400
QB,Robert Griffin III (13564917),Robert Griffin III,13564917,QB,4400,BAL@SEA 10/20/2019 04:25PM ET,BAL,7.1,#N/A,,,Evan Baylis,7000,7000,1400
QB,Geno Smith (13564918),Geno Smith,13564918,QB,4400,BAL@SEA 10/20/2019 04:25PM ET,SEA,0,#N/A,,,Dexter Williams,10000,10000,2200
QB,Colt McCoy (13564916),Colt McCoy,13564916,QB,4400,SF@WAS 10/20/2019 01:00PM ET,WAS,5.28,#N/A,,,Robert Tonyan,10000,10000,2200
RB,Nyheim Hines (13565006),Nyheim Hines,13565006,RB/FLEX,4400,HOU@IND 10/20/2019 01:00PM ET,IND,6.6,190,,,Alec Ingold,10000,10000,2200
QB,Tim Boyle (13564915),Tim Boyle,13564915,QB,4400,OAK@GB 10/20/2019 01:00PM ET,GB,0,#N/A,,,Derek Carrier,10000,10000,2200
QB,Josh Dobbs (13564914),Josh Dobbs,13564914,QB,4400,JAX@CIN 10/20/2019 01:00PM ET,JAX,0,#N/A,,,Josh Allen,550,550,-121
QB,Nick Mullens (13564922),Nick Mullens,13564922,QB,4300,SF@WAS 10/20/2019 01:00PM ET,SF,0,#N/A,,,Frank Gore,550,550,-121
QB,Brett Hundley (13564921),Brett Hundley,13564921,QB,4300,ARI@NYG 10/20/2019 01:00PM ET,ARI,0,#N/A,,,Devin Singletary,950,950,165
QB,AJ McCarron (13564920),AJ McCarron,13564920,QB,4300,HOU@IND 10/20/2019 01:00PM ET,HOU,0,#N/A,,,John Brown,1200,1200,200
WR,Kenny Stills (13565214),Kenny Stills,13565214,WR/FLEX,4300,HOU@IND 10/20/2019 01:00PM ET,HOU,8.95,375,,,Kenyan Drake,1600,1600,400
QB,Nick Foles (13564919),Nick Foles,13564919,QB,4300,JAX@CIN 10/20/2019 01:00PM ET,JAX,7,#N/A,,,Preston Williams,1600,1600,400
RB,Ryquell Armstead (13565008),Ryquell Armstead,13565008,RB/FLEX,4300,JAX@CIN 10/20/2019 01:00PM ET,JAX,2.38,850,,,Duke Williams,1600,1600,300
DST,Bills  (13565562),Bills ,13565562,DST,4300,MIA@BUF 10/20/2019 01:00PM ET,BUF,8.2,#N/A,,,Dawson Knox,1800,1800,325
RB,Gus Edwards (13565012),Gus Edwards,13565012,RB/FLEX,4200,BAL@SEA 10/20/2019 04:25PM ET,BAL,4.47,450,,,DeVante Parker,1800,1800,450
