Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M,Warren Creavalle (14797422),Warren Creavalle,14797422,FLEX,3600,PHI vs ORL 08:00PM ET,PHI,3.35
D,Jakob Glesnes (14797423),Jakob Glesnes,14797423,FLEX,3600,PHI vs ORL 08:00PM ET,PHI,2.97
M,Jhegson Mendez (14797424),Jhegson Mendez,14797424,FLEX,3400,PHI vs ORL 08:00PM ET,ORL,3.61
D,Kyle Smith (14797425),Kyle Smith,14797425,FLEX,3400,PHI vs ORL 08:00PM ET,ORL,8.06
D,Robin Jansson (14797426),Robin Jansson,14797426,FLEX,3400,PHI vs ORL 08:00PM ET,ORL,3.43
M,Jack De Vries (14797427),Jack De Vries,14797427,FLEX,3200,PHI vs ORL 08:00PM ET,PHI,0.7
D,Jack Elliott (14797428),Jack Elliott,14797428,FLEX,3200,PHI vs ORL 08:00PM ET,PHI,1.18
M,Oriol Rosell (14797429),Oriol Rosell,14797429,FLEX,3200,PHI vs ORL 08:00PM ET,ORL,1.72
D,Kamal Miller (14797430),Kamal Miller,14797430,FLEX,3200,PHI vs ORL 08:00PM ET,ORL,0
D,Aurelien Collin (14797431),Aurelien Collin,14797431,FLEX,3000,PHI vs ORL 08:00PM ET,PHI,0
D,Antonio Carlos (14797432),Antonio Carlos,14797432,FLEX,3000,PHI vs ORL 08:00PM ET,ORL,2.14
D,Alex De John (14797433),Alex De John,14797433,FLEX,3000,PHI vs ORL 08:00PM ET,ORL,0
M,Joey Dezart (14797434),Joey Dezart,14797434,FLEX,3000,PHI vs ORL 08:00PM ET,ORL,0
D,Rodrigo Schlegel (14797435),Rodrigo Schlegel,14797435,FLEX,3000,PHI vs ORL 08:00PM ET,ORL,2.2
M,Cole Turner (14797436),Cole Turner,14797436,FLEX,3000,PHI vs ORL 08:00PM ET,PHI,0
